type,id,author,editor,advisor,note,title,pages,article_no,num_pages,keywords,doi,journal,issue_date,volume,issue_no,description,month,year,issn,booktitle,acronym,edition,isbn,conf_loc,publisher,publisher_loc,abstract
article,2738017,Michael L. Best and Amanda  Meng,,,,Twitter Democracy: Policy Versus Identity Politics in Three Emerging African Democracies,20:1--20:10,20,10,"Africa, Twitter, democracy, elections, social media, text analysis",10.1145/2737856.2738017,,,,,,,2015,,Proceedings of the Seventh International Conference on Information and Communication Technologies and Development,ICTD '15,,978-1-4503-3163-0,"Singapore, Singapore",ACM,"New York, NY, USA","Social media offers new ways for citizens to discuss and debate politics and engage in the democratic process. These online systems could be places for rich policy relevant debate, which is favored by scholars of deliberative democracy. Alternatively, social media might be a platform for an identity driven form of political discourse that is routinely scorned by scholars of democracy. To examine these two possibilities, we analyzed tweets sent during three national elections, the defining participatory process of democracy. Our dataset includes over 760,000 tweets gathered during national elections in Nigeria, Ghana and Kenya from 2011 to 2013. In order to analyze the degree to which Twitter was being used for policy relevant discussion we developed policy term sets through a text analysis of the major political party platforms. To examine the amount of discourse focused on identity issues we created identity term sets based upon national religious, tribal, and regional differences. In Nigeria, where divisive identity politics feed violence and electoral misconduct, discussion of tribe, region, and religion dominate mentions of platform policies. In contrast Ghanaians, who enjoy the most robust democracy of the three countries, were seven times more likely to discuss policy issues rather than identity. Kenyan democracy is still undergoing consolidation, and tweets again reflect this, with almost as many tweets devoted to tribal identity as campaign policy. These findings suggest that social media discussions may echo the state of democratic deepening found in a country during its national elections."
article,2441942,Andrea  Wiggins,,,,Free As in Puppies: Compensating for Ict Constraints in Citizen Science,1469--1480,,12,"case study, citizen science, data quality, distributed work, scientific collaboration, technology-mediated participation",10.1145/2441776.2441942,,,,,,,2013,,Proceedings of the 2013 Conference on Computer Supported Cooperative Work,CSCW '13,,978-1-4503-1331-5,"San Antonio, Texas, USA",ACM,"New York, NY, USA","Citizen science is a form of collaborative research engaging the public with professional scientists. Information and communication technologies (ICT) are a leading factor in the recent spread of this phenomenon. A common assumption is that money and ICT are the ideal solutions to issues of data quality and participant engagement. The reality is instead that resource limitations often require adopting suboptimal ICT, including tools that are ""free as in puppies"" with hidden costs from poor usability and lack of appropriate functionality.A comparative case study of three citizen science projects, eBird, The Great Sunflower Project, and Mountain Watch, found that projects with few ICT resources employed a broader range of strategies to address these issues than expected. The most practical and effective strategies integrated available ICT with other resources to open up new solutions and options for supporting citizen science outcomes in spite of resource limitations."
article,1754187,Henry Been-Lirn  Duh and Ellen Yi-Luen  Do and Mark  Billinghurst and Francis  Quek and Vivian Hsueh-Hua  Chen,,,,Senior-friendly Technologies: Interaction Design for Senior Users,4513--4516,,4,"design, elderly, games, mobile game design, mobile phone, older users, senior citizens, technology",10.1145/1753846.1754187,,,,,,,2010,,CHI '10 Extended Abstracts on Human Factors in Computing Systems,CHI EA '10,,978-1-60558-930-5,"Atlanta, Georgia, USA",ACM,"New York, NY, USA","The elderly represent a valid group of users who can potentially benefit greatly from engaging with technology, such as healthcare systems or playing digital games. Yet, less attention has been given to the significance of senior citizens as technology users, as compared to the common younger population. In an effort to fill in the gap, this workshop aims to investigate the design of technology for senior citizens. To provide for more focused, thus more productive discussion, we will use elderly mobile phone games as a case in point here. The overarching objective is to understand what can help to make for better and more meaningful use of interactive applications and technology by the elderly, for instance, games on the mobile phone."
article,2399046,Matthias  Korn and Jon  Back,,,,Talking It Further: From Feelings and Memories to Civic Discussions in and About Places,189--198,,10,"civic engagement, collaborative and locative storytelling, emotions, mobile phones, pervasive play, youth",10.1145/2399016.2399046,,,,,,,2012,,Proceedings of the 7th Nordic Conference on Human-Computer Interaction: Making Sense Through Design,NordiCHI '12,,978-1-4503-1482-4,"Copenhagen, Denmark",ACM,"New York, NY, USA","Civic engagement systems to date frequently focus on purely rational aspects of deliberation void of emotions. In order to empower youth in a largely immigrant and lower-income neighborhood, we designed a location-based storytelling and story experiencing system for web-enabled mobile phones. The system is based on a novel concept of pervasive play where stories emerge and develop on several dimensions -- most notably for our design a geographical one. This system functions as a research instrument in this paper. Through a qualitative analysis of the comments made through the system, we find (1) memories, feelings, and attitudes to be prime means of expression for youth, (2) the expression of such personal emotions leading to civic discussions, and (3) such discussions expanding over geographic areas in the neighborhood. Consequently, we argue for an approach to locative civic engagement systems that takes a vantage point in youth's emotions rather than a very rational and dry approach to deliberation."
article,2816941,Morito  Matsuoka and Naonori  Ueda and Hideyuki  Tokuda and Rodger  Lea and Luis  Mu&#241;oz,,,,"SmartCities'15: International Workshop on Smart Cities: People, Technology and Data",1509--1513,,5,"city application, city field experiences, data analysis, data collection, middleware, smart city, system",10.1145/2800835.2816941,,,,,,,2015,,Adjunct Proceedings of the 2015 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2015 ACM International Symposium on Wearable Computers,UbiComp/ISWC'15 Adjunct,,978-1-4503-3575-1,"Osaka, Japan",ACM,"New York, NY, USA","We propose the First International Workshop on Smart Cities: People, Technology and Data. Cities are not machines, yet too many Smart City projects focus on efficiency and optimization and treat people as mindless users of technology. This workshop focuses on the complex interplay between technologies, data and citizens, exploring how citizens can be engaged to co-design Smart City services and how technology can be harnessed to meet their needs. By soliciting experiences papers from leading Smart City testbeds, and then encouraging detailed discussion by practitioners, we aim to develop guidelines and lessons that grow the Smart City Community."
article,2768546,Susanne  B&#248;dker and P&#228;r-Ola  Zander,,,,Participation in Design Between Public Sector and Local Communities,49--58,,10,"e-government, municipalities, participatory design, web 2.0",10.1145/2768545.2768546,,,,,,,2015,,Proceedings of the 7th International Conference on Communities and Technologies,C&#38;T '15,,978-1-4503-3460-0,"Limerick, Ireland",ACM,"New York, NY, USA","This paper discusses three cases where design was carried out at the intersection between public sector and citizen communities. Based on three dominant traditions meeting there--public (municipal) decision-making, Web 2.0 and participatory design--we identify challenges and solutions regarding participation and engagement of municipal workers and citizens. While this intersection is exactly where a new form of democratic participation could develop, the three traditions were, nonetheless, far from easily combined in the specific cases. The challenges that we have identified are to: Identify win-win situations, rather than to maximize participation; to work with motivation for long-term projects across municipality and communities; to identify and work with early movers, and not just representative citizens; and to create space for local municipal agencies to develop bottom-up technological solutions. The multiplicity of co-existing traditions of involvement need more focus in the future development of participatory design."
article,2807950,Sarah  Gallacher and Connie  Golsteijn and Vaiva  Kalnikaite and Steven  Houben and Rose  Johnson and Daniel  Harrison and Nicolai  Marquardt,,,,SenCity 2: Visualizing the Hidden Pulse of a City,1391--1394,,4,"cities, physical visualization, urban data, workshop",10.1145/2800835.2807950,,,,,,,2015,,Adjunct Proceedings of the 2015 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2015 ACM International Symposium on Wearable Computers,UbiComp/ISWC'15 Adjunct,,978-1-4503-3575-1,"Osaka, Japan",ACM,"New York, NY, USA","Following the success of the first SenCity workshop at UbiComp 2013, which focused on urban sensing technologies, the SenCity 2 workshop will focus on visualizing collected data in new ways. Specifically we will focus on physical forms of data visualizations using various mediums and actuation to explore how sensed data could be presented back to urban citizens in engaging and experiential ways. Participants will collaboratively apply practical research and creative flair at this hands-on workshop to design and prototype physical visualizations, bringing to life the hidden pulse of Osaka."
article,1999380,P. S. Acharya and S. K. Ghosh and S. C. De Sarkar,,,,Natural Resources Data Management System (NRDMS): A Suite of Web-accessible Geo-spatial Data Processing Tools for e-Governance in India,59:1--59:1,59,1,,10.1145/1999320.1999380,,,,,,,2011,,Proceedings of the 2Nd International Conference on Computing for Geospatial Research & Applications,COM.Geo '11,,978-1-4503-0681-2,"Washington, DC, USA",ACM,"New York, NY, USA","The National e-Governance Plan (NeGP) of India aims at making all government services accessible to the citizens through common service delivery outlets. It also seeks to ensure efficiency, transparency, and reliability of such services at affordable costs. A huge nationwide ICT infrastructure comprising of more than one lakh Common Service Centres (CSCs) for approximately six lakh villages, Statewide Area Networks (SWAN) for network connectivity to the lowest administrative levels, and State Data Centres (SDCs) for hosting state level e-Governance applications and data are thus being set up. Government departments, like, Land Records, Police, Property Registration, Agriculture, Employment, Watershed Management, Disaster Management, and local level elected bodies like Panchayats (village clusters) and Municipalities etc. involving geographic information, geo-spatial data and processing tools assume significance.Taking note of this requirement, the Natural Resources Data Management System (NRDMS) programme of Department of Science & Technology (DST), Government of India aims at setting up Spatial Data Infrastructures (SDIs) and developing a suite of web-accessible geo-spatial data processing tools. The SDIs and the tools are expected to provide information support to the efficient delivery of e-services under the NeGP. Research & Development (R & D) in the emerging areas of Geo Information Science and Technology are promoted to continually upgrade the tools and techniques. Some of the thrust areas for R & D include Geo-spatial Cloud Computing, Geo-Service Chaining, Geo-visualisation and Computer Cartography, Geo-Semantic Web, Spatio-temporal Data Modelling, Uncertainty in Geo-Spatial Data, Analytical/Process Modelling and Spatial Data Handling (SDI) etc. Specialized research and training centres are being set up in different parts of the country to facilitate capacity building.Sharing of spatial data by data providing agencies in the framework of Spatial Data Infrastructure (SDI) is an essential requirement in e-services delivery. District and state geo-portal prototypes have been developed using OGC/ISO specifications and their utility demonstrated to end user agencies. Specific studies have been completed in areas like Cartographic Generalization, Enterprise GIS, and Sensor Web Enablement etc. in order to demonstrate the utility of web-based geo-spatial data processing tools in e-Governance service delivery. In a typical district or a state, different line departments and agencies acquire and process spatial data sets for field/local level applications. Some of these data sets relate to watersheds, plots, weather, irrigation, health, education etc. Inadequate access to these data sets inhibits their use and integration with other relevant layers. The geo-portals are being upgraded with metadata from the line departments to facilitate discovery of geo-spatial data by using catalogue service on web (CSW). The geo-portals have been made accessible through the single window access mechanism of the India Geo Portal of the National Spatial Data Infrastructure (NSDI).In order to provide map service on the web for a city area primarily consisting of features like buildings and roads, there is a need for generalizing features by removing unnecessary details. Cartographic generalization plays an important role in overcoming these effects and preserves the required legibility considering the need for communicating (maps) geographical data to mobile devices in support of delivery of e-services.In the coming years, NRDMS will gear itself towards covering application sectors like 'Sustainable Agriculture' and 'Disaster Management', and engaging stakeholders attention in the development and utilization of geo-spatial data processing tools and technologies in different real-life applications."
article,2598563,Sarah  Fox and Christopher  Le Dantec,,,,Community Historians: Scaffolding Community Engagement Through Culture and Heritage,785--794,,10,"civic engagement, community informatics, participatory design, publics",10.1145/2598510.2598563,,,,,,,2014,,Proceedings of the 2014 Conference on Designing Interactive Systems,DIS '14,,978-1-4503-2902-6,"Vancouver, BC, Canada",ACM,"New York, NY, USA","This paper describes the Community Historians project, which was a series of public, participatory workshops focused on conceptualizing and enacting forms of citizen engagement through technology. The goal of the project was to provide the space and resources to discover, discuss, and document inherent communal values and tangible resources present in a low-income community. The result of the first workshop was an interactive, alternative asset map of the area. The second workshop involved residents building their own digital cameras from component parts. The purpose of these activities was to reinforce critical thought about how technology affected the lives of residents and to empower adaptation of technology as a tool for communal development."
article,2037602,Taewoo  Nam and Theresa A. Pardo,,,,"Conceptualizing Smart City with Dimensions of Technology, People, and Institutions",282--291,,10,"governance, infrastructure integration, service integration, smart city, smart technology",10.1145/2037556.2037602,,,,,,,2011,,Proceedings of the 12th Annual International Digital Government Research Conference: Digital Government Innovation in Challenging Times,dg.o '11,,978-1-4503-0762-8,"College Park, Maryland, USA",ACM,"New York, NY, USA","This conceptual paper discusses how we can consider a particular city as a smart one, drawing on recent practices to make cities smart. A set of the common multidimensional components underlying the smart city concept and the core factors for a successful smart city initiative is identified by exploring current working definitions of smart city and a diversity of various conceptual relatives similar to smart city. The paper offers strategic principles aligning to the three main dimensions (technology, people, and institutions) of smart city: integration of infrastructures and technology-mediated services, social learning for strengthening human infrastructure, and governance for institutional improvement and citizen engagement."
article,2591901,Jeremy  Millard,,,,ICT-enabled Public Sector Innovation: Trends and Prospects,77--86,,10,"government as a platform, open assets, open engagement, open governance, open services, public value",10.1145/2591888.2591901,,,,,,,2013,,Proceedings of the 7th International Conference on Theory and Practice of Electronic Governance,ICEGOV '13,,978-1-4503-2456-4,"Seoul, Republic of Korea",ACM,"New York, NY, USA","This experience paper is a personal thinkpiece which outlines many of the main issues and discussions taking place in Europe and elsewhere about the future of the public sector and how it can respond positively to some of the acute challenges it faces in light of the financial crisis and other global challenges. The paper examines how ICT-enabled public sector innovation highlights concepts like open governance, public value, government as a platform, open assets, open services and open engagement. It develops a vision of an 'open governance framework', moving beyond 'new public management', based on ICT-enabled societal-wide collaboration. It recognises that although the public sector can in principle create public value on its own, its potential to do so is greatly enhanced and extended by direct cooperation with other actors, or by facilitating public value creation by other actors on their own. It also examines the role of bottom-up innovation and public policy experimentation, as well as the need to focus on empowering civil servants and changing public sector working practices and mindsets."
article,2873064,Linlin  You and Gianmario  Motta and Kaixu  Liu and Tianyi  Ma,,,,CITY FEED: A Pilot System of Citizen-Sourcing for City Issue Management,53:1--53:25,53,25,"Crowdsourcing, citizen-sourced city issue management, citizen-sourcing, city service maturity framework, feed deduplication",10.1145/2873064,ACM Trans. Intell. Syst. Technol.,March 2016,7,4,,March,2016,2157-6904,,,,,,ACM,"New York, NY, USA","Crowdsourcing implies user collaboration and engagement, which fosters a renewal of city governance processes. In this article, we address a subset of crowdsourcing, named citizen-sourcing, where citizens interact with authorities collaboratively and actively. Many systems have experimented citizen-sourcing in city governance processes; however, their maturity levels are mixed. In order to focus on the service maturity, we introduce a city service maturity framework that contains five levels of service support and two levels of information integration. As an example, we introduce CITY FEED, which implements citizen-sourcing in city issue management process. In order to support such process, CITY FEED supports all levels of the maturity framework (publishing, transacting, interacting, collaborating, and evaluating) and integrates related information relationally and heterogeneously. In order to integrate heterogeneous information, it implements a threefold feed deduplication mechanism based on the geographic, text semantic, and image similarities of feeds. Currently, CITY FEED is in a pilot stage."
article,2641205,In&#234;s  Rodolfo and Liliana  Laranjo and Nuno  Correia and Carlos  Duarte,,,,Design Strategy for a National Integrated Personal Health Record,411--420,,10,"card sorting, eHealth, health communication, participatory design, personal health records, user experience design",10.1145/2639189.2641205,,,,,,,2014,,"Proceedings of the 8th Nordic Conference on Human-Computer Interaction: Fun, Fast, Foundational",NordiCHI '14,,978-1-4503-2542-4,"Helsinki, Finland",ACM,"New York, NY, USA","This paper addresses the timely and internationally relevant problem of designing a national integrated personal health record. Health care reforms around the world are changing the way health-related activities are performed. The goal is to empower patients to gain control of their healthcare information and foster health care team collaboration through integrated national health information systems. To accomplish this goal it is urgent to engage users in the use of these platforms. We present the process for creating a meaningful design strategy for a citizen portal that incorporates an integrated personal health record. This portal is part of a national health data platform cross-channel experience, connecting health care providers with patients, counting over 750,000 users. We applied a user experience design process to create an effective design solution for an integrated PHR and prototype that can be extended to the development of this new type of PHR."
article,2757246,Stacey  Kuznetsov and Aniket  Kittur and Eric  Paulos,,,,Biological Citizen Publics: Personal Genetics As a Site of Public Engagement with Science,303--312,,10,"biological citizenship, genetics, publics, scientific literacy",10.1145/2757226.2757246,,,,,,,2015,,Proceedings of the 2015 ACM SIGCHI Conference on Creativity and Cognition,C&#38;C '15,,978-1-4503-3598-0,"Glasgow, United Kingdom",ACM,"New York, NY, USA","Low-cost genetic sequencing, coupled with novel social media platforms and visualization techniques, present a new frontier for scientific participation, whereby people can learn, share, and act on data embedded within their own bodies. Our study of 23andMe, a popular genetic testing service, reveals how users make sense of and contextualize their genetic results, critique and evaluate the underlying research, and reflect on the broader implications of genetic testing. We frame user groups as citizen science publicsgroups that coalesce around scientific issues and work towards resolving shared concerns. Our findings show that personal genetics serves as a site for public engagement with science, whereby communities of biological citizens creatively interpret, debate, and act on professional research. We conclude with design trajectories at the intersection of genetics and creativity support tools: platforms for aggregating hybrid knowledge; tools for creative reflection on professional science; and strategies for supporting collaborations across communities."
article,2037634,Scott P. Robertson and Elizabeth A. Buie and Dianne  Murray,,,,Interaction Design for Citizen Engagement and Digital Government,376--377,,2,"citizen engagement, digital government, e-participation",10.1145/2037556.2037634,,,,,,,2011,,Proceedings of the 12th Annual International Digital Government Research Conference: Digital Government Innovation in Challenging Times,dg.o '11,,978-1-4503-0762-8,"College Park, Maryland, USA",ACM,"New York, NY, USA","Interaction design is an area within the larger field of human-computer interaction (HCI) that stresses user experience as central to the process of designing, creating, and evaluating interactive systems. In this half-day workshop, participants will explore how techniques and theories used in interaction design could be employed to increase and deepen citizen engagement and to make digital government more responsive and effective. Participants will also discuss broader issues related to the challenges of rapid technology change, continuous changes in user profiles and expectations, and the need for participatory iterative design practice in the development of e-govemment and e-participation systems."
article,2145238,Dana  Rotman and Jenny  Preece and Jen  Hammock and Kezee  Procita and Derek  Hansen and Cynthia  Parr and Darcy  Lewis and David  Jacobs,,,,Dynamic Changes in Motivation in Collaborative Citizen-science Projects,217--226,,10,"citizen science, collaboration, crowdsourcing, ecology, motivation, scientists, volunteers",10.1145/2145204.2145238,,,,,,,2012,,Proceedings of the ACM 2012 Conference on Computer Supported Cooperative Work,CSCW '12,,978-1-4503-1086-4,"Seattle, Washington, USA",ACM,"New York, NY, USA","Online citizen science projects engage volunteers in collecting, analyzing, and curating scientific data. Existing projects have demonstrated the value of using volunteers to collect data, but few projects have reached the full collaborative potential of scientists and volunteers. Understanding the shared and unique motivations of these two groups can help designers establish the technical and social infrastructures needed to promote effective partnerships. We present findings from a study of the motivational factors affecting participation in ecological citizen science projects. We show that volunteers are motivated by a complex framework of factors that dynamically change throughout their cycle of work on scientific projects; this motivational framework is strongly affected by personal interests as well as external factors such as attribution and acknowledgment. Identifying the pivotal points of motivational shift and addressing them in the design of citizen-science systems will facilitate improved collaboration between scientists and volunteers."
article,2470765,Rosta  Farzan and Robert E. Kraut,,,,Wikipedia Classroom Experiment: Bidirectional Benefits of Students' Engagement in Online Production Communities,783--792,,10,"experiment, online volunteer community, socialization",10.1145/2470654.2470765,,,,,,,2013,,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,CHI '13,,978-1-4503-1899-0,"Paris, France",ACM,"New York, NY, USA","Over the last decade, a citizen science movement has tried to engage students, laymen and other non-scientists in the production of science. However, there has been less attention in citizen science projects to use the public to disseminate scientific knowledge. Wikipedia provides a platform to study engagement of citizen scientists in knowledge dissemination. College and university students are especially appropriate members of the public to write science articles, because of the course-work and mentorship they receive from faculty. This paper describes a project to support students' writing of scientific articles in Wikipedia. In collaboration with a scientific association, we involved 640 students from 36 courses in editing scientific articles on Wikipedia. This paper provides details in the design of the program and our quantitative and qualitative approaches to evaluating it. Our results show that the Wikipedia classroom experiment benefits both the Wikipedia community and students. Undergraduate and graduate students substantially improved the scientific content of over 800 articles, at a level of quality indistinguishable from content written by PhD experts. Both students and faculty endorsed the motivational benefits of an authentic writing experience that would be read by thousands of people."
article,1565796,Diana  Burley,,,,Information Technology in Social Entrepreneurship: The Role and the Reality,11--14,,4,"information technology, social entrepreneurship",10.1145/1565795.1565796,SIGCAS Comput. Soc.,June 2009,39,1,,June,2009,0095-2737,,,,,,ACM,"New York, NY, USA","Social entrepreneurship is increasingly seen as a critical component of the global conversation on volunteerism and civic engagement. The purpose of this article is to lay the groundwork for a larger conversation on the role of information technology in social entrepreneurship by summarizing the discussions among participants of a recent conference on the subject. Social networking and information sharing were identified as the most critical roles of IT in support of social entrepreneurship. However, in order to realize the full potential of these roles, conference participants suggested that four key challenges must be addressed: access, capacity, commonality, and the scholar-practitioner link."
article,2442957,Dong-Po  Deng and Tyng-Ruey  Chuang and Kwang-Tsao  Shao and Guan-Shuo  Mai and Te-En  Lin and Rob  Lemmens and Cheng-Hsin  Hsu and Hsu-Hong  Lin and Menno-Jan  Kraak,,,,"Using Social Media for Collaborative Species Identification and Occurrence: Issues, Methods, and Tools",22--29,,8,"Facebook, citizen science, linking open data, social media, volunteered geographic information",10.1145/2442952.2442957,,,,,,,2012,,Proceedings of the 1st ACM SIGSPATIAL International Workshop on Crowdsourced and Volunteered Geographic Information,GEOCROWD '12,,978-1-4503-1694-1,"Redondo Beach, California",ACM,"New York, NY, USA","The emergence of social media enables people to interact with others on the web in ways that are media-rich (""updates"" or ""posts"" can be text, photo, audio, video, etc), time-shifted (correspondence need not happen at once or within a pre-defined time frame), and social in nature. By utilizing social media, citizen science projects can potentially engage many participants to contribute their observations covering a large geographic region and over a long time period. This is an improvement, for example, over traditional biodiversity surveys which typically involve relatively few people in confined regions and periods.As social media is not designed for scientific data collection and analysis, there is a problem in transferring unstructured information items (e.g. free-form text, unidentified images, etc.) often found in social media to structured data records for scientific tasks. To help bridge this gap, we propose an approach comprised of three steps: (1) Information Extraction, (2) Information Formalization, and (3) Information Reuse. We apply this approach to processing posts and comments from two Facebook interest groups on species observations. Our study demonstrates that with principled methods and proper tools, crowdsourced social media contents such as those from Facebook interest groups can be used for collaborative species identification and occurrence."
article,2591916,Enrique Cusba Garc&#237;a,,,,Fostering e-Participation in Colombia,170--173,,4,"crystal ballot box, e-government, e-participation, vive digital",10.1145/2591888.2591916,,,,,,,2013,,Proceedings of the 7th International Conference on Theory and Practice of Electronic Governance,ICEGOV '13,,978-1-4503-2456-4,"Seoul, Republic of Korea",ACM,"New York, NY, USA","This paper describes the framework and initiatives followed by Colombia to foster e-participation. E-participation implies openness and inclusiveness and the current ICT policy provides the basics for the accomplishment of such principles as the progress in infrastructure, access to services, applications and citizens and public servants capacities has enabled citizens' engagement. In addition, e-participation involves the provision of information, consultation and decision-making. The Crystal Ballot Box facilitates those three levels of participation so it becomes a relevant example of active e-participation in Colombia."
article,2103357,Christopher M. Mascaro and Sean P. Goggins,,,,Brewing Up Citizen Engagement: The Coffee Party on Facebook,11--20,,10,"deliberative discourse, democratic discourse, group formation, issue entrepreneurship, politics, social networking",10.1145/2103354.2103357,,,,,,,2011,,Proceedings of the 5th International Conference on Communities and Technologies,C&#38;T '11,,978-1-4503-0824-3,"Brisbane, Australia",ACM,"New York, NY, USA","With this study we seek to provide an understanding of the discourse and agenda setting practices of an online issue based political group, ""Join the Coffee Party Movement"" (JCPM) in the United States. The stated goals of JCPM are to establish a place for individuals who identify themselves as disenfranchised to discuss and take action on issues of social and economic policy in the US. JCPM is one example of hundreds of issue-based organizations emerging on Facebook worldwide. Since its inception in January 2010, over 344,000 Facebook members have become followers of the JCPM page. Our analysis of the text of the discourse and the social networks, which emerge on the JCPM page, show three surprising results. First, in contrast to prior studies, significant deliberative discourse among members emerges in this open, public space without prompting. Second, the discourse practices and structure that emerge on the JCPM Facebook page show two types of leadership: Centralized, organizational leadership, and decentralized leadership from participants. Third, we identify two structural characteristics of this virtual political organization using social network analysis of trace data: a) Organizational leaders are not central to discussions of controversial topics; b) Advocacy and dissent behavior in the discussions are reflected in the social network structure. Our findings have implications for the practices and technology designs used to engage citizens through social and participatory media."
article,2611015,Fabius  Steinberger and Marcus  Foth and Florian  Alt,,,,Vote With Your Feet: Local Community Polling on Urban Screens,44:44--44:49,44,6,"Polling, civic engagement, public displays, tangible media, ubiquitous computing, urban computing, urban informatics, voting",10.1145/2611009.2611015,,,,,,,2014,,Proceedings of The International Symposium on Pervasive Displays,PerDis '14,,978-1-4503-2952-1,"Copenhagen, Denmark",ACM,"New York, NY, USA","Falling prices have led to an ongoing spread of public displays in urban areas. Still, they mostly show passive content such as commercials and digital signage. At the same time, technological advances have enabled the creation of interactive displays potentially increasing their attractiveness for the audience, e.g. through providing a platform for civic discourse. This poses considerable challenges, since displays need to communicate the opportunity to engage, motivate the audience to do so, and be easy to use. In this paper we present Vote With Your Feet, a hyperlocal public polling tool for urban screens allowing users to express their opinions. Similar to vox populi interviews on TV or polls on news websites, the tool is meant to reflect the mindset of the community on topics such as current affairs, cultural identity and local matters. It is novel in that it focuses on a situated civic discourse and provides a tangible user interface, tackling the mentioned challenges. It shows one Yes/No question at a time and enables users to vote by stepping on one of two tangible buttons on the ground. This user interface was introduced to attract people's attention and to lower participation barriers. Our field study showed that Vote With Your Feet is perceived as inviting and that it can spark discussions among co-located people."
article,1499226,W. Lewis Johnson,,,,Developing Intercultural Competence Through Videogames,99--100,,2,"cultural competence, cultural learning, cultural proficiency",10.1145/1499224.1499226,,,,,,,2009,,Proceedings of the 2009 International Workshop on Intercultural Collaboration,IWIC '09,,978-1-60558-502-4,"Palo Alto, California, USA",ACM,"New York, NY, USA","Effective intercultural collaboration requires intercultural competence. Intercultural competence involves awareness of the differences between cultures, knowledge about the beliefs, values, and practices of other cultures, and the skill to apply that knowledge effortlessly and effectively in interpersonal interactions. Acquiring intercultural competence can involve intensive study of the target culture, as well as immersion in social milieu of the target culture. Anyone who interacts regularly with people of other cultures can benefit from intercultural competence, but not everyone has the time and motivation to engage in lengthy cultural study, or the opportunity to immerse oneself in the other culture for extended periods.The focus of this talk is on the role of learning technologies in promoting intercultural competence. We address the problem of intercultural competence by means of computer-based serious games designed to help learners quickly acquire job-related linguistic and cultural proficiency. Videogame technology is used to create virtual worlds populated by non-player characters that speak and understand the target language, and behave in accordance with the norms of the culture. Conversational artificial intelligence technology enables learners to engage in spoken conversations with the non-player characters. Learners must speak the target language, and behave in a culturally proficient manner, in order to succeed at the game. cultural knowledge and skills, and organize them into curricula that serve as the basis for the game-based courses. Curriculum design focuses on the situations that learners are likely to encounter when interacting with people from the target culture, and tasks that they are likely to want to perform. This context provides a Cultural Lens that focuses curriculum development on the locations, socio-political factors, perspectives, and cultural practices that are most relevant to those situations and tasks. This approach results in courses that enable people to quickly acquire the intercultural skills that are most relevant to their particular needs. In the process they gain enhanced cultural awareness, which can support learners and motivate them to broaden and deepen their knowledge of the target culture. Military personnel engaged in civil affairs and peacekeeping operations are making extensive use of Alelo courses prior to overseas deployments. They report that the linguistic and cultural competence that they gained from the courses had a significant impact on the effectiveness of their operations. For example, a US Marine unit recently reported that it completed a tour of duty in Iraq without a single combat casualty. It attributed its success to its enhanced ability to develop relationships and establish rapport with the local people. We are currently developing a variety of other courses aimed at linguistic and cultural competence. Encounters: Global Chinese is an integrated course in Chinese language and culture, being developed in collaboration with Yale University Press and Chinese International Publishing Group. Rez World, developed in collaboration with Thornton Media, is designed to promote language and culture restoration among Native American tribes. A Web-based course for Voice of America is intended to provide VOA listeners worldwide with an opportunity to develop spoken English communication skills and develop a better understanding of American culture."
article,2830651,Ken  Banks,,,,"Hackers, Fixers and Lone Rangers: The Future of Technology for Development?",1--1,,1,"accessibility, global development, ictd",10.1145/2830629.2830651,,,,,,,2015,,Proceedings of the 2015 Annual Symposium on Computing for Development,DEV '15,,978-1-4503-3490-7,"London, United Kingdom",ACM,"New York, NY, USA","Classes in social innovation, technology-for-development and design thinking have become increasingly popular in recent years. On the one hand, this might be seen as a good thing. After all, the world needs as many smart, engaged citizens as it can get, particularly when you consider the multitude of challenges we face as a planet. But does a career in social change really begin in the classroom, or out in the real world? How much social change is planned, and how much accidental? And which approach tends to lead to the most meaningful, lasting or impactful solutions? In his talk, Ken Banks will talk about the rise of innovation 'outside the system', and how this is beginning to challenge conventional thinking around social innovation and the source of technology-for-development projects and interventions."
