Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
NoiseSPY: A Real-Time Mobile Phone Platform for Urban Noise Monitoring and Mapping,Mobile Networks and Applications,,15,4,10.1007/s11036-009-0217-y,Eiman Kanjo,2010,http://link.springer.com/article/10.1007/s11036-009-0217-y,Article
A people-centric framework for mobile augmented reality systems (MARS) design: ArcHIVE 4Any,Human-centric Computing and Information Sciences,,5,1,10.1186/s13673-015-0055-9,Manolya Kavakli,2015,http://link.springer.com/article/10.1186/s13673-015-0055-9,Article
Generalized multipath planning model for ride-sharing systems,Frontiers of Computer Science,,8,1,10.1007/s11704-013-3021-6,Jamal YousafJuanzi LiLu ChenJie TangXiaowen Dai,2014,http://link.springer.com/article/10.1007/s11704-013-3021-6,Article
A framework for the lived experience of identity,Identity in the Information Society,,3,3,10.1007/s12394-010-0078-3,Adrian RahamanMartina Angela Sasse,2010,http://link.springer.com/article/10.1007/s12394-010-0078-3,Article
Practical versus moral identities in identity management,Ethics and Information Technology,,12,1,10.1007/s10676-010-9216-8,Noëmi Manders-Huits,2010,http://link.springer.com/article/10.1007/s10676-010-9216-8,Article
"Emotions in context: examining pervasive affective sensing systems, applications, and analyses",Personal and Ubiquitous Computing,,19,7,10.1007/s00779-015-0842-3,Eiman KanjoLuluah Al-HusainAlan Chamberlain,2015,http://link.springer.com/article/10.1007/s00779-015-0842-3,Article
Teaching to trust: How a virtual archives and preservation curriculum laboratory creates a global education community?,Archival Science,,11,3 - 4,10.1007/s10502-011-9157-y,Karen AndersonJeannette BastianRoss HarveyTerry PlumGöran Samuelsson,2011,http://link.springer.com/article/10.1007/s10502-011-9157-y,Article
Electronic immunization data collection systems: application of an evaluation framework,BMC Medical Informatics and Decision Making,,14,1,10.1186/1472-6947-14-5,Christine L HeidebrechtJeffrey C KwongMichael FinkelsteinSherman D QuanJennifer A PereiraSusan QuachShelley L Deeks,2014,http://link.springer.com/article/10.1186/1472-6947-14-5,Article
Managing accessibility in local e-government websites through end-user development: a case study,Universal Access in the Information Society,,9,1,10.1007/s10209-009-0158-z,Daniela FogliSergio ColosioMatteo Sacco,2010,http://link.springer.com/article/10.1007/s10209-009-0158-z,Article
Pursuing genius loci: interaction design and natural places,Personal and Ubiquitous Computing,,14,1,10.1007/s00779-009-0217-8,Nicola J. BidwellDavid Browning,2010,http://link.springer.com/article/10.1007/s00779-009-0217-8,Article
University Libraries and the Development of Lecturers’ and Students’ Information Competencies,International Journal of Educational Technology in Higher Education,,7,2,10.7238/rusc.v7i2.980,José Antonio Gómez Hernández,2010,http://link.springer.com/article/10.7238/rusc.v7i2.980,Article
A diversity-sensitive evaluation method,Universal Access in the Information Society,,10,3,10.1007/s10209-010-0211-y,Alexandros MourouzisMargherita AntonaConstantine Stephandis,2011,http://link.springer.com/article/10.1007/s10209-010-0211-y,Article
Facilitating open exchange of data and information,Earth Science Informatics,,8,4,10.1007/s12145-014-0202-2,James GallagherJohn OrcuttPauline SimpsonDawn WrightJay PearlmanLisa Raymond,2015,http://link.springer.com/article/10.1007/s12145-014-0202-2,Article
"The K-12 educational technology value chain: Apps for kids, tools for teachers and levers for reform",Education and Information Technologies,,,,10.1007/s10639-014-9357-1,Glenn L. PiercePaul F. Cleary,2014,http://link.springer.com/article/10.1007/s10639-014-9357-1,Article
The logic of wikis: The possibilities of the Web 2.0 classroom,International Journal of Computer-Supported Collaborative Learning,,6,1,10.1007/s11412-011-9107-y,Michael GlassmanMin Ju Kang,2011,http://link.springer.com/article/10.1007/s11412-011-9107-y,Article
A core ontology on events for representing occurrences in the real world,Multimedia Tools and Applications,,58,2,10.1007/s11042-010-0667-z,Ansgar ScherpThomas FranzCarsten SaathoffSteffen Staab,2012,http://link.springer.com/article/10.1007/s11042-010-0667-z,Article
Reputation modelling in Citizen Science for environmental acoustic data analysis,Social Network Analysis and Mining,,3,3,10.1007/s13278-012-0087-3,HaoFan YangJinglan ZhangPaul Roe,2013,http://link.springer.com/article/10.1007/s13278-012-0087-3,Article
Semantic ambient media—an introduction,Multimedia Tools and Applications,,44,3,10.1007/s11042-009-0282-z,Artur LugmayrThomas RisseBjoern StocklebenKari LaurilaJuha Kaario,2009,http://link.springer.com/article/10.1007/s11042-009-0282-z,Article
"Trusted by whom? TDRs, standards culture and the nature of trust",Archival Science,,,,10.1007/s10502-015-9257-1,Greg Bak,2015,http://link.springer.com/article/10.1007/s10502-015-9257-1,Article
Do the best scholars attract the highest speaking fees? An exploration of internal and external influence,Scientometrics,,101,1,10.1007/s11192-014-1379-3,Ho Fai ChanBruno S. FreyJana GallusMarkus SchaffnerBenno TorglerStephen Whyte,2014,http://link.springer.com/article/10.1007/s11192-014-1379-3,Article
Foresight for a responsible future with ICT,Information Systems Frontiers,,16,3,10.1007/s10796-013-9479-9,M. Lynne MarkusKevin Mentzer,2014,http://link.springer.com/article/10.1007/s10796-013-9479-9,Article
Information quality in healthcare social media – an architectural approach,Health and Technology,,,,10.1007/s12553-016-0131-9,D. M. LopezB. BlobelC. Gonzalez,2016,http://link.springer.com/article/10.1007/s12553-016-0131-9,Article
Information flow in reverse logistics: an industrial information integration study,Information Technology and Management,,13,4,10.1007/s10799-012-0116-y,Xianliang ShiLing Xia LiLili YangZhihua LiJung Y. Choi,2012,http://link.springer.com/article/10.1007/s10799-012-0116-y,Article
Universal design for learning: enhancing achievement and employment of STEM students with disabilities,Universal Access in the Information Society,,14,1,10.1007/s10209-013-0332-1,Margaretha Vreeburg IzzoWilliam M. Bauer,2015,http://link.springer.com/article/10.1007/s10209-013-0332-1,Article
Peer Review and Scientific Publishing in Times of Web 2.0,Publishing Research Quarterly,,30,1,10.1007/s12109-014-9345-8,Lucia Vesnic-Alujevic,2014,http://link.springer.com/article/10.1007/s12109-014-9345-8,Article
Considering the ethical implications of social media in social work education,Ethics and Information Technology,,15,1,10.1007/s10676-013-9312-7,Rana Duncan-DastonMaude Hunter-SloanElise Fullmer,2013,http://link.springer.com/article/10.1007/s10676-013-9312-7,Article
"Perfect present, perfect gift: finding a place for archival consciousness in social theory",Archival Science,,10,2,10.1007/s10502-010-9118-x,Brien Brothman,2010,http://link.springer.com/article/10.1007/s10502-010-9118-x,Article
Understanding barriers to online experience for people with physical and sensory disabilities using discursive social psychology,Universal Access in the Information Society,,9,2,10.1007/s10209-009-0162-3,Natilene I. Bowker,2010,http://link.springer.com/article/10.1007/s10209-009-0162-3,Article
Preparing for Airport Collaborative Decision Making (A-CDM) implementation: an evaluation and recommendations,"Cognition, Technology & Work",,17,2,10.1007/s10111-014-0295-x,S. CorriganL. MårtenssonA. KayS. OkwirP. UlfvengrenN. McDonald,2015,http://link.springer.com/article/10.1007/s10111-014-0295-x,Article
"Web site accessibility, usability and security: a survey of government web sites in Kyrgyz Republic",Universal Access in the Information Society,,,,10.1007/s10209-015-0446-8,Rita Ismailova,2015,http://link.springer.com/article/10.1007/s10209-015-0446-8,Article
"Universal design, inclusive design, accessible design, design for all: different concepts—one goal? On the concept of accessibility—historical, methodological and philosophical aspects",Universal Access in the Information Society,,14,4,10.1007/s10209-014-0358-z,Hans PerssonHenrik ÅhmanAlexander Arvei YnglingJan Gulliksen,2015,http://link.springer.com/article/10.1007/s10209-014-0358-z,Article
Municipalities as a Driver for Wireless Broadband Access,Wireless Personal Communications,,49,3,10.1007/s11277-009-9695-2,Jan Van OoteghemBart LannooKoen CasierSofie VerbruggeEmmeric TangheWout JosephLuc MartensDidier ColleMario PickavetIngrid MoermanPiet Demeester,2009,http://link.springer.com/article/10.1007/s11277-009-9695-2,Article
Open source and accessibility: advantages and limitations,Journal of Interaction Science,,1,1,10.1186/2194-0827-1-2,Michael HeronVicki L HansonIan Ricketts,2013,http://link.springer.com/article/10.1186/2194-0827-1-2,Article
Developing an explanatory model for the process of online radicalisation and terrorism,Security Informatics,,2,1,10.1186/2190-8532-2-6,Robyn Torok,2013,http://link.springer.com/article/10.1186/2190-8532-2-6,Article
The role of civil society groups in improving access to the DC-CAN,Information Systems Frontiers,,,,10.1007/s10796-015-9602-1,Siddhartha Menon,2015,http://link.springer.com/article/10.1007/s10796-015-9602-1,Article
Historical review and future challenges in Supercomputing and Networks of Scientific Communication,The Journal of Supercomputing,,71,12,10.1007/s11227-015-1544-3,Álvaro Fernández-GonzálezRafael RosilloJosé Ángel Miguel-DávilaVicente Matellán,2015,http://link.springer.com/article/10.1007/s11227-015-1544-3,Article
Wireless Robotics: Opportunities and Challenges,Wireless Personal Communications,,70,3,10.1007/s11277-013-1102-3,Sivabalan ArumugamRitesh Kumar KalleAnand R. Prasad,2013,http://link.springer.com/article/10.1007/s11277-013-1102-3,Article
Privacy as a right or as a commodity in the online world: the limits of regulatory reform and self-regulation,Electronic Commerce Research,,,,10.1007/s10660-015-9187-2,Diana WalshJames M. ParisiKatia Passerini,2015,http://link.springer.com/article/10.1007/s10660-015-9187-2,Article
Research Note: An Introduction to the Economic Analysis of Open Data,The Review of Socionetwork Strategies,,8,2,10.1007/s12626-014-0048-6,Soichiro Takagi,2014,http://link.springer.com/article/10.1007/s12626-014-0048-6,Article
Moving the centre to design social media in rural Africa,AI & SOCIETY,,31,1,10.1007/s00146-014-0564-5,Nicola J. Bidwell,2016,http://link.springer.com/article/10.1007/s00146-014-0564-5,Article
"How can contributors to open-source communities be trusted? On the assumption, inference, and substitution of trust",Ethics and Information Technology,,12,4,10.1007/s10676-010-9230-x,Paul B. de Laat,2010,http://link.springer.com/article/10.1007/s10676-010-9230-x,Article
Converting knowledge into sustainability performance of freight villages,Logistics Research,,6,2 - 3,10.1007/s12159-013-0098-0,Jiani WuHans-Dietrich Haasis,2013,http://link.springer.com/article/10.1007/s12159-013-0098-0,Article
Understanding and modeling the complex dynamics of the online social networks: a scalable conceptual approach,Evolving Systems,,,,10.1007/s12530-016-9145-9,Ilias N. LymperopoulosGeorge D. Ioannou,2016,http://link.springer.com/article/10.1007/s12530-016-9145-9,Article
Competency training in universities via projects and Web 2.0 tools. Analysis of an experience,International Journal of Educational Technology in Higher Education,,11,1,10.7238/rusc.v11i1.1713,Rosa García-RuizNatalia González FernándezPaloma Contreras Pulido,2014,http://link.springer.com/article/10.7238/rusc.v11i1.1713,Article
studiVZ: social networking in the surveillance society,Ethics and Information Technology,,12,2,10.1007/s10676-010-9220-z,Christian Fuchs,2010,http://link.springer.com/article/10.1007/s10676-010-9220-z,Article
Shaping public sector innovation theory: an interpretative framework for ICT-enabled governance innovation,Electronic Commerce Research,,15,3,10.1007/s10660-015-9184-5,Gianluca MisuracaGianluigi Viscusi,2015,http://link.springer.com/article/10.1007/s10660-015-9184-5,Article
Crowdsourced integrity verification of election results,Annals of Telecommunications,,,,10.1007/s12243-016-0511-1,Diego F. AranhaHelder RibeiroAndré Luis Ogando Paraense,2016,http://link.springer.com/article/10.1007/s12243-016-0511-1,Article
Archival representations of immigration and ethnicity in North American history: from the ethnicization of archives to the archivization of ethnicity,Archival Science,,14,2,10.1007/s10502-013-9209-6,Dominique Daniel,2014,http://link.springer.com/article/10.1007/s10502-013-9209-6,Article
“All the world’s a stage” — Legal and cultural reflections on the surveillance of online games,Datenschutz und Datensicherheit - DuD,,38,9,10.1007/s11623-014-0235-1,Burkhard SchaferWiebke Abel,2014,http://link.springer.com/article/10.1007/s11623-014-0235-1,Article
Turn off the graphics: designing non-visual interfaces for mobile phone games,Journal of the Brazilian Computer Society,,15,1,10.1007/BF03192576,Luis ValenteClarisse Sieckenius de SouzaBruno Feijó,2009,http://link.springer.com/article/10.1007/BF03192576,Article
Local archives and community collecting in the digital age,Archival Science,,12,2,10.1007/s10502-011-9154-1,Lyndon Ormond-ParkerRobyn Sloggett,2012,http://link.springer.com/article/10.1007/s10502-011-9154-1,Article
Smart places: Multi-agent based smart mobile virtual community management system,Applied Intelligence,,41,4,10.1007/s10489-014-0569-2,Muhammad FahadOlivier BoissierPierre MaretNejib MoallaChristophe Gravier,2014,http://link.springer.com/article/10.1007/s10489-014-0569-2,Article
Understanding the Influence of User Participation and Involvement on System Success – a Systematic Mapping Study,Empirical Software Engineering,,20,1,10.1007/s10664-013-9278-4,Ulrike AbeleinBarbara Paech,2015,http://link.springer.com/article/10.1007/s10664-013-9278-4,Article
The Diversity Quality Cycle: driving culture change through innovative governance,AI & SOCIETY,,27,3,10.1007/s00146-012-0381-7,Jude Smith Rachele,2012,http://link.springer.com/article/10.1007/s00146-012-0381-7,Article
"Capabilities in, capabilities out: overcoming digital divides by promoting corporate citizenship and fair ICT",Ethics and Information Technology,,13,4,10.1007/s10676-010-9261-3,Thorsten Busch,2011,http://link.springer.com/article/10.1007/s10676-010-9261-3,Article
Academic Publishing in India: Sites of Reform and Resistance,Publishing Research Quarterly,,30,1,10.1007/s12109-014-9347-6,Eric Antony Brotchie,2014,http://link.springer.com/article/10.1007/s12109-014-9347-6,Article
Identifying patients at risk of deterioration in the Joint Emergency Department,"Cognition, Technology & Work",,17,4,10.1007/s10111-015-0327-1,Thomas SchmidtUffe Kock Wiil,2015,http://link.springer.com/article/10.1007/s10111-015-0327-1,Article
Pervasive Social Computing: augmenting five facets of human intelligence,Journal of Ambient Intelligence and Humanized Computing,,3,2,10.1007/s12652-011-0081-z,Jiehan ZhouJunzhao SunKumaripaba AthukoralaDinesh WijekoonMika Ylianttila,2012,http://link.springer.com/article/10.1007/s12652-011-0081-z,Article
From Revolution to Participation: Social Media and the Democratic Decision-Making Process,Business & Information Systems Engineering,,3,4,10.1007/s12599-011-0166-4,Prof. Dr. Hans Ulrich Buhl,2011,http://link.springer.com/article/10.1007/s12599-011-0166-4,Article
e-Business systems integration: a systems perspective,Information Technology and Management,,13,4,10.1007/s10799-012-0119-8,Song WangLing LiKanliang WangJames D. Jones,2012,http://link.springer.com/article/10.1007/s10799-012-0119-8,Article
The use of regional platforms for managing electronic health records for the production of regional public health indicators in France,BMC Medical Informatics and Decision Making,,12,1,10.1186/1472-6947-12-28,Marie-Hélène MetzgerThierry DurandStéphane LallichRoger SalamonPhilippe Castets,2012,http://link.springer.com/article/10.1186/1472-6947-12-28,Article
BSense: A Flexible and Open-Source Broadband Mapping Framework,Mobile Networks and Applications,,19,6,10.1007/s11036-014-0542-7,Giacomo BernardiDamon FenacciMahesh K. Marina,2014,http://link.springer.com/article/10.1007/s11036-014-0542-7,Article
Ethics and Education in the Digital Age: Global Perspectives and Strategies for Local Transformation in Catalonia,International Journal of Educational Technology in Higher Education,,12,2,10.7238/rusc.v12i2.2455,Don Olcott Jr.Xavier Carrera FarranEliana Esther Gallardo EcheniqueJuan González Martínez,2015,http://link.springer.com/article/10.7238/rusc.v12i2.2455,Article
Changes in the basic ICT skills of freshmen between 2005 and 2009: Who’s catching up and who’s still behind?,Education and Information Technologies,,17,2,10.1007/s10639-011-9154-z,Kurt De WitDirk HeerweghJef C. Verhoeven,2012,http://link.springer.com/article/10.1007/s10639-011-9154-z,Article
The Palenque project: evaluating interaction in an online virtual archaeology site,Virtual Reality,,16,2,10.1007/s10055-011-0191-0,Erik ChampionIan BishopBharat Dave,2012,http://link.springer.com/article/10.1007/s10055-011-0191-0,Article
Multiliteracy and Social Networks in Higher Education,International Journal of Educational Technology in Higher Education,,7,2,10.7238/rusc.v7i2.978,Cristóbal Pasadas Ureña,2010,http://link.springer.com/article/10.7238/rusc.v7i2.978,Article
ICT and an NGO: Difficulties in attempting to be extremely transparent,Ethics and Information Technology,,11,3,10.1007/s10676-009-9180-3,A. VaccaroP. Madsen,2009,http://link.springer.com/article/10.1007/s10676-009-9180-3,Article
Transformative engagement,AI & SOCIETY,,31,1,10.1007/s00146-015-0617-4,Karamjit S Gill,2016,http://link.springer.com/article/10.1007/s00146-015-0617-4,Article
Rich socio-cognitive agents for immersive training environments: case of NonKin Village,Autonomous Agents and Multi-Agent Systems,,24,2,10.1007/s10458-011-9167-4,Barry G. SilvermanDavid PietrocolaBen NyeNathan WeyerOleg OsinDan JohnsonRansom Weaver,2012,http://link.springer.com/article/10.1007/s10458-011-9167-4,Article
"Optimists’ Creed: Brave New Cyberlearning, Evolving Utopias (Circa 2041)",International Journal of Artificial Intelligence in Education,,,,10.1007/s40593-016-0096-x,Winslow BurlesonArmanda Lewis,2016,http://link.springer.com/article/10.1007/s40593-016-0096-x,Article
"Designing beyond habit: opening space for improved recycling and food waste behaviors through processes of persuasion, social influence and aversive affect",Personal and Ubiquitous Computing,,17,6,10.1007/s00779-012-0587-1,Rob ComberAnja Thieme,2013,http://link.springer.com/article/10.1007/s00779-012-0587-1,Article
Neo-colonialism and research collaboration in Central Africa,Scientometrics,,81,2,10.1007/s11192-008-2211-8,Nelius Boshoff,2009,http://link.springer.com/article/10.1007/s11192-008-2211-8,Article
Social media-based systems: an emerging area of information systems research and practice,Scientometrics,,95,1,10.1007/s11192-012-0831-5,Gohar Feroz Khan,2013,http://link.springer.com/article/10.1007/s11192-012-0831-5,Article
Solving Wicked Social Problems with Socio-computational Systems,KI - Künstliche Intelligenz,,27,1,10.1007/s13218-012-0231-2,Joshua IntroneRobert LaubacherGary OlsonThomas Malone,2013,http://link.springer.com/article/10.1007/s13218-012-0231-2,Article
Identifying the key organisational human factors for introducing human-robot collaboration in industry: an exploratory study,The International Journal of Advanced Manufacturing Technology,,81,9 - 12,10.1007/s00170-015-7335-4,George CharalambousSarah FletcherPhilip Webb,2015,http://link.springer.com/article/10.1007/s00170-015-7335-4,Article
Interoperability for medical information systems: an overview,Health and Technology,,4,3,10.1007/s12553-014-0085-8,Randa HammamiHatem BellaajAhmed Hadj Kacem,2014,http://link.springer.com/article/10.1007/s12553-014-0085-8,Article
A multi-agent framework for mining semantic relations from linked data,Journal of Zhejiang University SCIENCE C,,13,4,10.1631/jzus.C1101010,Hua-jun ChenTong YuQing-zhao ZhengPei-qin GuYu Zhang,2012,http://link.springer.com/article/10.1631/jzus.C1101010,Article
Understanding benefits realisation of iREACH from a capability approach perspective,Ethics and Information Technology,,13,2,10.1007/s10676-011-9268-4,Helena GrunfeldSokleap HakTara Pin,2011,http://link.springer.com/article/10.1007/s10676-011-9268-4,Article
Critical factors in the evaluation of online media: creation and implementation of a measurement scale (e-SQ-Media),Universal Access in the Information Society,,,,10.1007/s10209-016-0454-3,Eduard Cristóbal-FransiFrancisco Hernández-SorianoFrederic Marimon,2016,http://link.springer.com/article/10.1007/s10209-016-0454-3,Article
"The Singapore experience: Synergy of national policy, classroom practice and design research",International Journal of Computer-Supported Collaborative Learning,,6,1,10.1007/s11412-010-9102-8,Chee-Kit LooiHyo-Jeong SoYancy TohWenli Chen,2011,http://link.springer.com/article/10.1007/s11412-010-9102-8,Article
Emerging manufacturing paradigm shifts for the incoming industrial revolution,The International Journal of Advanced Manufacturing Technology,,,,10.1007/s00170-015-8076-0,Xifan YaoYingzi Lin,2015,http://link.springer.com/article/10.1007/s00170-015-8076-0,Article
The language resource Strategic Agenda: the FLaReNet synthesis of community recommendations,Language Resources and Evaluation,,48,4,10.1007/s10579-014-9279-y,Claudia SoriaNicoletta CalzolariMonica MonachiniValeria QuochiNúria BelKhalid ChoukriJoseph MarianiJan OdijkStelios Piperidis,2014,http://link.springer.com/article/10.1007/s10579-014-9279-y,Article
Linked Data for the International Aid Transparency Initiative,Journal on Data Semantics,,4,3,10.1007/s13740-014-0048-2,Karel S. BrandtVictor de Boer,2015,http://link.springer.com/article/10.1007/s13740-014-0048-2,Article
Digital citizenship within global contexts,Education and Information Technologies,,20,4,10.1007/s10639-015-9426-0,Michael SearsonMarsali HancockNusrat SoheilGregory Shepherd,2015,http://link.springer.com/article/10.1007/s10639-015-9426-0,Article
"Designing, formalizing, and evaluating a flexible architecture for integrated service delivery: combining event-driven and service-oriented architectures",Service Oriented Computing and Applications,,6,3,10.1007/s11761-011-0100-0,Sietse OverbeekMarijn JanssenPatrick van Bommel,2012,http://link.springer.com/article/10.1007/s11761-011-0100-0,Article
A Multi-UAS Cooperative Mission Over Non-Segregated Civil Areas,Journal of Intelligent & Robotic Systems,,70,1 - 4,10.1007/s10846-012-9706-5,Marco BoccalatteFilippo BrogiFrancesco CatalfamoStefania MaddalunoMichele MartinoValter MellanoPaolo Rosazza PrinFilomena SolitroPietro TorassoGianluca Torta,2013,http://link.springer.com/article/10.1007/s10846-012-9706-5,Article
Using Case-Based Reasoning and Principled Negotiation to provide decision support for dispute resolution,Knowledge and Information Systems,,36,3,10.1007/s10115-012-0563-0,Davide CarneiroPaulo NovaisFrancisco AndradeJohn ZeleznikowJosé Neves,2013,http://link.springer.com/article/10.1007/s10115-012-0563-0,Article
Diverse views on IT innovation diffusion among SMEs: Influencing factors of broadband adoption,Information Systems Frontiers,,16,4,10.1007/s10796-012-9384-7,Oluwasola OniAnastasia Papazafeiropoulou,2014,http://link.springer.com/article/10.1007/s10796-012-9384-7,Article
Doing Business with Theory: Communities of Practice in Knowledge Management,Computer Supported Cooperative Work (CSCW),,21,2 - 3,10.1007/s10606-011-9139-x,Norman Makoto SuHiroko N. WilenskyDavid F. Redmiles,2012,http://link.springer.com/article/10.1007/s10606-011-9139-x,Article
Video interaction: a research agenda,Personal and Ubiquitous Computing,,18,3,10.1007/s00779-013-0705-8,Oskar JuhlinGoranka ZoricArvid EngströmErika Reponen,2014,http://link.springer.com/article/10.1007/s00779-013-0705-8,Article
Video digital libraries: contributive and decentralised,International Journal on Digital Libraries,,12,4,10.1007/s00799-012-0078-z,James LanaganAlan F. Smeaton,2012,http://link.springer.com/article/10.1007/s00799-012-0078-z,Article
e-Learning as an Object of Study,International Journal of Educational Technology in Higher Education,,7,2,10.7238/rusc.v7i2.634,Cristóbal Suárez Guerrero,2010,http://link.springer.com/article/10.7238/rusc.v7i2.634,Article
E-Discovery revisited: the need for artificial intelligence beyond information retrieval,Artificial Intelligence and Law,,18,4,10.1007/s10506-010-9096-6,Jack G. Conrad,2010,http://link.springer.com/article/10.1007/s10506-010-9096-6,Article
An emergency response decision support system framework for application in e-government,Information Technology and Management,,13,4,10.1007/s10799-012-0130-0,Siqing ShanLi WangLing LiYong Chen,2012,http://link.springer.com/article/10.1007/s10799-012-0130-0,Article
Designing tailorable software systems with the users’ participation,Journal of the Brazilian Computer Society,,18,3,10.1007/s13173-012-0070-x,Vânia Paula de Almeida NerisM. Cecília C. Baranauskas,2012,http://link.springer.com/article/10.1007/s13173-012-0070-x,Article
Aspects of planning support for human-agent coalitions,Journal of the Brazilian Computer Society,,15,4,10.1007/BF03194512,Clauirton de Albuquerque SiebraNatasha Correia Queiroz Lino,2009,http://link.springer.com/article/10.1007/BF03194512,Article
SQCs in Turkey as “Imece Circles”,AI & SOCIETY,,27,3,10.1007/s00146-012-0380-8,Hayal Köksal,2012,http://link.springer.com/article/10.1007/s00146-012-0380-8,Article
Mapping the dynamics of knowledge base of innovations of R&D in Bangladesh: triple helix perspective,Scientometrics,,90,1,10.1007/s11192-011-0507-6,Md. Dulal HossainJunghoon MoonHyoung Goo KangSung Chul LeeYoung Chan Choe,2012,http://link.springer.com/article/10.1007/s11192-011-0507-6,Article
Was the Internet the Only Option? Which Way Should Business and Information Systems Engineering Go?,Business & Information Systems Engineering,,1,1,10.1007/s12599-008-0030-3,Prof. Dr. Günter Müller,2009,http://link.springer.com/article/10.1007/s12599-008-0030-3,Article
A brief introduction to the history of community informatics,AI & SOCIETY,,25,3,10.1007/s00146-010-0286-2,Peter Day,2010,http://link.springer.com/article/10.1007/s00146-010-0286-2,Article
Evaluation of information retrieval for E-discovery,Artificial Intelligence and Law,,18,4,10.1007/s10506-010-9093-9,Douglas W. OardJason R. BaronBruce HedinDavid D. LewisStephen Tomlinson,2010,http://link.springer.com/article/10.1007/s10506-010-9093-9,Article
"State analytics of innovation development in Russia: Content, trends, and crucial tasks",Scientific and Technical Information Processing,,39,1,10.3103/S0147688212010108,S. V. Belkin,2012,http://link.springer.com/article/10.3103/S0147688212010108,Article
"Information technologies, students’ e-skills and diversity of learning process",Education and Information Technologies,,20,1,10.1007/s10639-013-9272-x,Adel Ben YoussefMounir DahmaniNessrine Omrani,2015,http://link.springer.com/article/10.1007/s10639-013-9272-x,Article
Information and knowledge society (SIC) development and structure in Chile in relation to the Latin American “Digital Gap”,Universal Access in the Information Society,,14,4,10.1007/s10209-014-0357-0,Claudia Verónica Gómez Gómez,2015,http://link.springer.com/article/10.1007/s10209-014-0357-0,Article
Ambient media today and tomorrow,Multimedia Tools and Applications,,71,1,10.1007/s11042-012-1346-z,Artur LugmayrEstefanía SerralAnsgar ScherpBogdan PogorelcMoyen Mustaquim,2014,http://link.springer.com/article/10.1007/s11042-012-1346-z,Article
Middleware for social computing: a roadmap,Journal of Internet Services and Applications,,3,1,10.1007/s13174-011-0045-8,Licia CapraDaniele Quercia,2012,http://link.springer.com/article/10.1007/s13174-011-0045-8,Article
Learning to learn together with CSCL tools,International Journal of Computer-Supported Collaborative Learning,,10,3,10.1007/s11412-015-9216-0,Baruch B. SchwarzReuma de GrootManolis MavrikisToby Dragon,2015,http://link.springer.com/article/10.1007/s11412-015-9216-0,Article
A social contract for virtual institutions,AI & SOCIETY,,30,1,10.1007/s00146-013-0523-6,Daniel Memmi,2015,http://link.springer.com/article/10.1007/s00146-013-0523-6,Article
Model for democratisation of the contents hosted in MOOCs,International Journal of Educational Technology in Higher Education,,12,1,10.7238/rusc.v12i1.2031,Javiera Atenas,2015,http://link.springer.com/article/10.7238/rusc.v12i1.2031,Article
The Malthusian Paradox: performance in an alternate reality game,Personal and Ubiquitous Computing,,18,7,10.1007/s00779-014-0762-7,Elizabeth EvansMartin FlinthamSarah Martindale,2014,http://link.springer.com/article/10.1007/s00779-014-0762-7,Article
"Challenges of ethical and legal responsibilities when technologies’ uses and users change: social networking sites, decision-making capacity and dementia",Ethics and Information Technology,,14,2,10.1007/s10676-012-9286-x,Rachel BatchelorAnia BobrowiczRobin MackenzieAlisoun Milne,2012,http://link.springer.com/article/10.1007/s10676-012-9286-x,Article
A decision support system for assessing and managing environment risk cross borders,Earth Science Informatics,,4,3,10.1007/s12145-011-0081-8,K. PediaditiM. StanojevicC. KouskounaM. KarydasD. ZianisGeorge P. PetropoulosN. Boretos,2011,http://link.springer.com/article/10.1007/s12145-011-0081-8,Article
Context-based aggregation of archival data: the role of authority records in the semantic landscape,Archival Science,,15,3,10.1007/s10502-014-9215-3,Ricardo Eito-Brun,2015,http://link.springer.com/article/10.1007/s10502-014-9215-3,Article
Collective Intelligence,Business & Information Systems Engineering,,2,4,10.1007/s12599-010-0114-8,Prof. Dr. Jan Marco Leimeister,2010,http://link.springer.com/article/10.1007/s12599-010-0114-8,Article
"Personal documentation on a social network site: Facebook, a collection of moments from your life?",Archival Science,,14,2,10.1007/s10502-013-9208-7,Donghee SinnSue Yeon Syn,2014,http://link.springer.com/article/10.1007/s10502-013-9208-7,Article
Towards inclusive identity management,Identity in the Information Society,,3,3,10.1007/s12394-010-0075-6,Lothar FritschKristin Skeide FuglerudIvar Solheim,2010,http://link.springer.com/article/10.1007/s12394-010-0075-6,Article
"Digital technologies and artificial intelligence’s present and foreseeable impact on lawyering, judging, policing and law enforcement",AI & SOCIETY,,,,10.1007/s00146-015-0596-5,Ephraim Nissan,2015,http://link.springer.com/article/10.1007/s00146-015-0596-5,Article
Self-regulatory information sharing in participatory social sensing,EPJ Data Science,,5,1,10.1140/epjds/s13688-016-0074-4,Evangelos PournarasJovan NikolicPablo VelásquezMarcello TrovatiNik BessisDirk Helbing,2016,http://link.springer.com/article/10.1140/epjds/s13688-016-0074-4,Article
From evidence-based policy making to policy analytics,Annals of Operations Research,,236,1,10.1007/s10479-014-1578-6,Giada De MarchiGiulia LucertiniAlexis Tsoukiàs,2016,http://link.springer.com/article/10.1007/s10479-014-1578-6,Article
