"","DocumentTitle","Year","Abstract","PDF_Link"
"37","Urban Civics: An IoT middleware for democratizing crowdsensed data in smart societies",2015,"While the design of smart city ICT systems of today is still largely focused on (and therefore limited to) passive sensing, the emergence of mobile crowd-sensing calls for more active citizen engagement in not only understanding but also shaping of our societies. The Urban Civics Internet of Things (IoT) middleware enables such involvement while effectively closing several feedback loops by including citizens in the decision-making process thus leading to smarter and healthier societies. We present our initial design and planned experimental evaluation of city-scale architecture components where data assimilation, actuation and citizen engagement are key enablers toward democratization of urban data, longer-term transparency, and accountability of urban development policies. All of these are building blocks of smart cities and societies.","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7325081"
"38","Hybrid Cemetery Culture: Making Death Matter in Cultural Heritage Using Smart Mobile Technologies",2015,"This paper discusses the urban cemetery as a site of intangible cultural practices and ubiquitous computing as an approach to enhance heritage sites. The paper introduces an experience assessment tool as a mobile phone application that audio-visually augments a heritage interpretation programme, using a contemporary Danish urban cemetery as case. It discusses a number of emerging digital platforms for mourning, heritage and online remembrance that influence the use of the urban cemetery today, and show the potentials of learning and experience from tethering burial sites with augmented mobile mediations of historic heritage information and cultural practices of remembrance. The paper concludes, that an augmentation of the urban cemetery culture points to a high significance amongst citizens, and that experience design through mobile technologies promises an enhanced meaning in an often overlooked urban site. Due to the sensitive subject matter of death and mourning, the participation of the public in general faces challenges that need attention when planning a cultural heritage programme.","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7433249"
"39","E-consultations in Croatian central government",2014,"So far citizen consultations and participation in policy-making has been mostly the feature of local governments and local administrations. This paper aims to explore the usage of public participation in policy making via e-consultations with interested public in central government, namely in two Croatian ministries - Ministry of Science, Education and Sport (MoSES) and MInistry of Culture. This topic is mainly related to the problems of accountability and transparency, but also citizen cynicism and digital divide. Moving beyond this general approach, there is an underlying issue of defining and measuring accountability and establishing the role of e-consultations in the strengthening of accountability principle and framework within governmental organisations. The main problems analysed are the creation of curricula in elementary and secondary school in MoSES and policy-making concerning mainly the distribution of subsidies (establishment of public cultural needs), theaters, and electronic media in the Ministry of Culture. The paper explores the type of comment left on the web sites of those ministries, their quality and general tone, by the means of content analysis, but also the type of organisation and/or inndividual leaving the comment in order to assess the motivation and impact of the coment. On the other hand, it explores and analyses the structures enabling accountability and transparency in those ministries in order to establish the role and potential of e-consultations in strengthening them and possible improvements of e-consultation methodology and practice.","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6859815"
"40","A Cloud-Based Architecture for Citizen Services in Smart Cities",2012,"With continuous increase in urban population, the need to plan and implement smart cities based solutions for better urban governance is becoming more evident. These solutions are driven, on the one hand, by innovations in ICT and, on the other hand, to increase the capability and capacity of cities to mitigate environmental, social inclusion, economic growth and sustainable development challenges. In this respect, citizens' science or public participation provides a key input for informed and intelligent planning decision and policy making. However, the challenge here is to facilitate public in acquiring the right contextual information in order to be more productive, innovative and be able to make appropriate decisions which impact on their well being, in particular, and economic and environmental sustainability in general. Such a challenge requires contemporary ICT solutions, such as using Cloud computing, capable of storing and processing significant amount of data and produce intelligent contextual information. However, processing and visualising contextual information in a Cloud environment is not straightforward due to user profiling and contextual segregation of data that could be used in different applications of a smart city. In this regard, we present a Cloud-based architecture for context-aware citizen services for smart cities and walkthrough it using a hypothetical case study.","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6424966"
"41","The diverse stakeholder roles to involve in standardization of emerging and future self-managing networks",2011,"This paper discusses some of the key points related to Standardization that need to be noted and discussed in the wide ICT community, to help understand the implication and impact of emerging and future network technologies on the various stakeholders of the global ICT ecosystems. The implication of emerging and future network technologies is that it is now the time to involve every key stakeholder in shaping, reviewing and contributing to the evolution of standards as well as the processes involved in making standards. The success to attaining quality and stability of emerging and future standards hinges on the engagements of the various key stakeholders and roles discussed in this paper. This paper is aimed at helping various stakeholders identify where they fit in the changing landscape of standardization, and promoting further discussions and debates along the topic, since the necessary discussions are not taking place at the pace expected by the global ICT community. We look at the key aspects requiring continued discussions and consideration so as to help accelerate standards development processes and adoption of standards, to help facilitate innovation and new technologies that dramatically bring about changes to the global economy and improve the lives of citizens across the globe. Therefore, it is very important to understand that Future Network Research directions must be aligned with newly launched activities in standardization of emerging and future network technologies.","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6162522"
"42","Breathing smarter: A critical look at representations of air quality sensing data across platforms and publics",2015,"The advent of digital technologies have caused cities to become increasingly connected with and reliant upon mobile, fixed, and remote sensing networks used toward urban planning, commerce, governance, and civic engagement. As sensor devices and sensor data become more ubiquitous over time in urban environments, it will be even more crucial to be critical of how sensor data are represented and how to design for optimal legibility for its intended audience. Air quality data, though relatively accessible and open for cities suffering from severe air pollution like Shanghai, China, and New Delhi, India, still pose problems with regard to representation. Data interfaces for air quality sensor data seem to assume or overlook public literacy in environmental standards, sensor calibration, sensor network resolution, and baseline technical knowledge about sensor devices. This paper examines how air quality sensor data are collected and given form across various projects. It will look closely at city dashboards, open data portals, and project-based data visualizations as well as analyze how meaning might be constructed from these interfaces. Finally, the paper will suggest a preliminary research agenda for further assessing how sensor data are represented to publics as cities increasingly rely on sensor networks.","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7366185"
"43","Teaching Climate Change through blended learning: A case study in a private secondary school in Mauritius",2015,"Teaching Climate Change's concepts are hard and challenging to impress in the minds of adolescent learners in a traditional classroom environment. Designing appropriate instructional strategies with the best visual experiences enable learners to grasp the complex principle behind the concept and stimulate their interest. Hence, technology can be seen as a panacea. In this regard, a study was conducted to explore Form II learners' view on learning Climate Change with blended learning approach. The theoretical context of this research is underpinned by socio-constructivism. As methodology, an action research was carried out by implementing an interactive educational software, designed based on learners' requirements. A questionnaire was administered to 30 mixed ability learners from a gender-mixed private secondary school with the aim of collecting their learning experience. An active participation of the learners during the face-to-face session demonstrated that through blended learning, they had a clearer understanding and they appreciated the concept with a larger improvement in learners performance. Hence, this active and constructive learning strategy encouraged collaboration and cooperation, and celebrated the autonomy of the learners. Moreover, learners were motivated to take action and address problems in the community, developing their civic responsibility for sustainable development.","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7374179"
"44","Software platform for services in Colombian cities using the Living Labs approach",2011,"Models of innovation and technological development of Colombian cities follow traditional patterns that are not very dynamic. This is reflected in the low participation of users and entrepreneurs in creating new applications and services orientated to citizens. This paper proposes a new software platform, whose architecture serves as basis for promoting urban initiatives led by user communities, private and public companies, and telecommunications operators in Colombian cities. The new platform is called Urb@naLab and it uses the Living Labs approach to create new innovation systems based on Information and Communication Technologies (ICT).","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6162383"
"45","Insights from a m-participation prototype in the wild",2015,"Developing web-based as well as mobile platforms to encourage citizens to become involved in urban governance and political decision-making processes is becoming increasingly popular amongst municipalities and organisations. However, the vast majority of them either implement a one-way communication between citizens and governance or tends to be more of a consultation process instead of actively integrating citizens in decision-making. Our research aims to strengthen citizens' involvement in governance and encourage a continuous dialogue between municipalities and citizens. To explore the opportunities and impacts of novel mobile participation concepts, we developed a mobile application. This paper reports on two consecutive studies, which evaluate and explore user acceptance of general concepts of our system. Being still in the development phase, we focused on specific features of the prototype. Results of both studies are presented and discussed in relation to opportunities for m-participation tools. The paper concludes with an outline of future work.","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7134013"
"46","Understanding social computing participation with visual exploration tools",2009,"The rapid growth of socio-technical systems, social media and social networking websites has raised the importance of understanding the determinants of their success. The pressure to understand success is increased by the shift from playful discretionary applications to mission critical applications in government, business, and civic settings. These include homeland defense, energy sustainability, environmental conservation, disaster response, and community safety. Information visualization tools and statistical methods can both be helpful, but their utility grows when they are well-integrated. This talk will demonstrate novel tools for network evolution and offer a framework for thinking about motivating technology-mediated social participation.","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5067426"
"47","Yes Wii can! Using digital games as a rehabilitation platform after stroke - The role of social support",2009,"A CVA or stroke is frequently a life changing event for both the person suffering the CVA as well as their immediate family. At Eindhoven University of Technology we focus on facilitating people's continued rehabilitation at home using digital games as a rehabilitation platform. As a first step we have recently conducted a requirements analyses from which we concluded that: (1) social support is critical for patient motivation in order to adhere to the necessary regime of rehabilitation exercises in the chronic phase of CVA, (2) there is a perceived difficulty within the intimate social network around a patient (family, friends) in (re)connecting to the patient, and there is a need to engage in meaningful activities with the patient, (3) technology is not yet available that is specifically designed to support such social engagement with the larger social circle around CVA patients.","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5174233"
"48","The view from the other side of smart governance!",2014,"Summary form only given. The different levels of addressing the e-of-things have burgeoned and proliferated in such a way that the exact scale and nature of understanding carried by this e-something has caused a multiple of disarray among not only government entities but among the citizens and every institution that works for social development. This gap of understanding has also increased the impact of any development. Hence the lack of concerted and adopted standards have caused, particularly in societies of developing countries, a widespread of e-democracy, e-participation, e-community, etc. that are of varying levels. One wonders then why in these developing countries which need democracy, collaboration and citizen participation more than all other countries, a dynamic and efficient balance of the politics, socioeconomic development and social societies fail to align into a cohesive power rather than scatter efforts thus minimizing impact and results. I believe a triple helix model to control such forces can be adopted to achieve this end. Certainly political instability and lack of good governance would be difficult to defeat in a short time, but enlisting the true power of e-participation and e-collaboration to transform the majority of the society into a well prepared e-community would quickly develop e-democratic models of operation including e-voting and for that matter “e-prosperity!”.","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6819934"
"49","Enabling participatory routing using a smart routing platform",2015,"Participatory sensing has been advocated as a decentralized mechanism for getting up-to-date data about a city. However, this leads to data flowing only in one direction, from the citizen to the data collector. We advocate closing the loop, by creating a platform that aggregates participatory data, visualizes it, and provides utility from the data. We argue that this will lead to greater participation, as well as greater interest in various aspects of a city that can be collaboratively mapped.","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7366180"
"50","Going Beyond Citizen Data Collection with Mapster: A Mobile+Cloud Real-Time Citizen Science Experiment",2011,"Citizens have always played an important role in emergency management such as urban flooding response. New information and communication technologies such as smart phones and computer-based social networks have great potential to transform the roles of citizens in emergency management. However, current digital citizen science projects are usually limited in three areas: 1) limited one-way citizen participation, 2) no processing and integration of citizens' reports with other existing infrastructure sensing data, 3) no personalized near-real-time spatiotemporal visualization tools for citizens to instantly view aggregated data to gain updated situational awareness. We developed a Mapster application that specifically addresses these issues. First, we leveraged Twitter's geo-referenced tweets functionality to design a customized smart phone application for citizens to report a set of events that have been identified in past urban flooding situations such as ""basement flooding"" and ""powerline down"" etc. Second, a Cloud-based semantic streaming data harvesting and processing tool was developed to fetch and process both the Twitter feeds and other infrastructure sensing data such as US National Weather Service's radar data. Third, a user can instantly explore the heterogeneous data processed and provided by the Cloud service through a map-based spatiotemporal animation tool on the smart phone to see how all the events evolve before, during, and after a storm. Such a two-way information flow significantly improves citizen participation and their sense of situational awareness. We present our architecture, implementation, and discussion of issues on citizen science data collection platforms, integration of heterogeneous data sources and future work plan.","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6130723"
"51","A meta-model for crowdsourcing platforms in Data Collection and Participatory Sensing",2014,"Crowdsourcing is both a new paradigm of collaboration and a new frontier for CSCWD. Since its introduction in 2006, the notion of Crowdsourcing has been the object of a number of studies. Crowdsourcing has a multidisciplinary nature with a huge diversity of applications that encompasses many practices. The concepts that shape crowdsourcing are still under construction and it is difficult to reach a consensus. Based on this scenario, this paper proposes a meta-model which aims to fit generic solutions related to a specific subset of crowdsourcing designed to accomplish a specific task: Data Collection and Participatory Sensing to leverage the engagement of volunteers with Science and Environmental issues.","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6846883"
"52","A Mobile Crowdsourcing Platform for Urban Infrastructure Maintenance",2014,"Geospatial mobile applications interact with local and remote hardware to connect various data sources. These applications are currently evolving to include crowd sourcing functionalities, for citizen participation. In this paper we propose the identification, collection and information exchange of smart objects their geographic information, facilitating connectivity and communication between citizens and local organizations, and building interoperable services with data from sensors, smart physical objects and social media. We propose to identify spatial patterns, report object locations to identify problems and improve maintenance strategies of a city. As a validation of this approach, we develop a mobile mapping and data hub platform to visualize, monitor, and assist urban maintenance planning that enables better interaction between citizens of Smart Cities.","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6975489"
"53","CrowdOut: A mobile crowdsourcing service for road safety in digital cities",2014,"Nowadays cities invest more in their public services, and particularly digital ones, to improve their resident's quality of life and attract more people. Thus, new crowdsourcing services appear and they are based on contributions made by mobile users equipped with smartphones. For example, the respect of the traffic code is essential to ensure citizens' security and welfare in their city. In this paper, we present CrowdOut, a new mobile crowdsourcing service for improving road safety in cities. CrowdOut allows users to report traffic offence they witness in real time and to map them on a city plan. CrowdOut service has been implemented and experiments and demonstrations have been performed in the urban environment of the Grand Nancy, in France. This service allows users appropriating their urban environment with an active participation regarding the collectivity. This service also represents a tool for city administrators to help for decisions and improve their urbanization policy, or to check the impact of their policy in the city environment.","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6815170"
"54","A note on democracy and group support systems concepts",2010,"This paper tries to show that Group Support Systems techniques and research results provide an adequate framework to develop public participation support systems that go beyond e-voting and aggregation of citizens' preferences. It is however necessary to look into political science and understand what kind of initiatives need to be supported and what requirements they pose. Only then the full potential of Information and Communication Technologies regarding democracy support may be achieved.","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5556704"
"55","NASA Innovation Ecosystem: Host to a Government technology innovation network",2014,"The NASA Innovation Ecosystem supports discovery, collaboration, and ideation around NASA current and future technology. Innovate. NASA is the virtual platform for citizen scientists to learn about NASA technology, collaborate to rethink these inventions, and shape the discussion around future innovation. The purpose is to strengthen NASA's technology capabilities through actively exposing NASA developed technology to external innovators for open innovation. Innovate.NASA shares out NASA research and inventions on its website, and provides inspiration and insights on innovation via its social media accounts. Participants of Innovate.NASA contribute questions and ideas to identify new uses and reuses for NASA technology, and engage in discussion to promote innovation. Innovate.NASA encompasses a broad community of scientists, technologists, researchers, and entrepreneurs. This paper explores the potential for a Government technology innovation network where technologies are shared across US Agencies and with the public as a central way to innovate around Government technologies. Ultimately through multi Agency participation each does its part to support an environment where innovation thrives and ideas translate into impact for future Government missions, interagency cooperation, cross pollination of technologies, and a place for the public to participate in technology innovation.","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6836445"
"56","Participatory Sensing, Privacy, and Trust Management for Interactive Local Government",2014,"Faced with increasing pressure regarding resources and urban infrastructure, local governments implement strategic plans with intentions of improving the quality of life for their citizens. This work explores participatory sensing (PS) and the issues associated with governance in the light of new information-gathering capabilities and technologies. These new technologies directly engage citizens in collecting data and providing contextual insight. The insight gathered has the potential to greatly enhance City Council operations in efficient management. Key hurdles affecting the viability and uptake of PS from different stakeholder perspectives are examined. The aim is to understand whether (or under what conditions) there can be a the mutually-beneficial communication link between citizens and the government when using the emerging technologies. Participants? respective value propositions are considered. Simultaneously community engagement is increased, and city operations are enhanced through a partnership with citizens. The challenges of PS, and associated privacy impacts, are considered through the application lens of noise monitoring (framed by the particular insights and needs of the City of Melbourne). This provides insight on the social impacts of emerging technologies, particularly the issue of privacy infringement and other associated risks and implications. These social impacts are examined not only in light of the individual but also in light of the shared environments. Accordingly, responsibilities and avenues for mitigation are assigned to stakeholders, which includes user awareness factors, policy frameworks, and design-level strategies.","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6901335"
"57","The role of mobile volunteered geographic information in urban management",2010,"Incredibly rapid growth of cities presents a formidable challenge for urban managers, including how to monitor growth and change across the city and to forecast areas of risk. The Core part of these issues is to collect appropriate, up-to-date and city wide information timely. Volunteered Geographic Information (VGI) is a human side of the sensor revolution. Citizens can act as efficient local “microGI” generators with the mobile data contribution tools. This author emphasizes the role of VGI in urban management as information provider. The proper data contribution mechanism can enhance the data accuracy and motivate people's enthusiasm. Here, the authors proposed a model, using mobile phones as the platforms to develop personalized and universalized applications with the technologies of mobile cloud computing and context aware computing. Follow this incentive mechanism, citizens' participation in city management will be more easily and voluntarily.","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5567728"
"58","From Conservation to Crowdsourcing: A Typology of Citizen Science",2011,"Citizen science is a form of research collaboration involving members of the public in scientific research projects to address real-world problems. Often organized as a virtual collaboration, these projects are a type of open movement, with collective goals addressed through open participation in research tasks. Existing typologies of citizen science projects focus primarily on the structure of participation, paying little attention to the organizational and macrostructural properties that are important to designing and managing effective projects and technologies. By examining a variety of project characteristics, we identified five types-Action, Conservation, Investigation, Virtual, and Education- that differ in primary project goals and the importance of physical environment to participation.","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5718708"
"59","Notice of Retraction<BR>Exploration on the multi-cooperative mechanism of public participation on the community during urban renewal",2011,"Notice of Retraction<BR><BR>After careful and considered review of the content of this paper by a duly constituted expert committee, this paper has been found to be in violation of IEEE's Publication Principles.<BR><BR>We hereby retract the content of this paper. Reasonable effort should be made to remove all past references to this paper.<BR><BR>The presenting author of this paper has the option to appeal this decision by contacting TPII@ieee.org.<BR><BR>Based on the analysis of a great deal of problems in the public participation during urban renewal, and the enlightenment from the public participation in American planning, the multi-cooperative mechanism of public participation on the community is raised which not only concerns our own special conditions but also learns from successful experience of some western countries. The premise of the innovation is that it will bring out a new institution about public participation planning to guarantee resident's participation right in community. The second innovation will be the way of participation. Every single citizen shall take part in the organization, and then consult all the planning affairs through this organization, instead of consulting individually. Third, the Non-Government Organizations must be established.","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5775913"
"60","E-Participation: Incident Mapping Portal for Local Government Units",2015,"The paper promotes the use of ICT for an E-Participation prototype for the Local Government Unit specifically in the Barangay level. E-Participation provides officials and the community interaction to produce information concerning policies and decision making through technological tools. The study incorporates the different types of E-participation namely E-informing, E-Consulting, E-Involving, E-Collaborating and E-Empowerment. The main feature of the system will focus on the application of Incident Mapping. Through this, citizens will be allowed to point areas in the community through a digital map that requires attention from the barangay officials. Social media integration is also included to allow the community receives notifications for every update done by the officials to the website. The paper will focus on the acceptability of the proposed system for Barangay 343 Zone 44 Sampaloc, Manila towards the implementation of the E-Participation Barangay Portal prototype. The system was accessed by the community having a total of 154 respondents using statistical sampling method such as clustering, stratified and fishball sampling. The result of the survey obtained from the respondents in the acceptability of the system shows that it is Highly Acceptable gaining an overall mean of 4.51. This study provides insight into potential improvement for transparencies, communication plan and services. Furthermore, the said innovation may encourage more users to improve fact-based decision making for Local Government Unit. Conducting e-participation in longitudinal research to better understand the different factors affecting the sustainability of active participation is therefore recommended.","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7393183"
"61","Service-learning computing courses assist with technology needs in community based organizations serving older adults",2011,"The rapidly exploding aged 60 and over population is expected to comprise 22% of the general population by 2020 and is the same age group which has the greatest digital divide. The senior citizen population in New York is notably higher than the national average. The high tech world that surrounds the older adult population relies on smartphones to servers and being connected to the Internet. The elderly have nothing to relate technology to in their past learning experiences, thus find it difficult to incorporate computing skills into long-term memory. Many senior citizens know they have to learn how to operate a computer because the world will leave them behind. The Internet proves essential to the elderly in not only connecting with family, friends, and lost acquaintances, thus avoiding social isolation, but provides valuable health related information and healthcare options. Moreover, research has shown frequent Internet use by older adults stimulates cognition. Other studies have shown technology enriches daily functions and improves the overall life quality of older adults. Older adults are often not comfortable with the swiftly advancing technology. Many older adults feel computers are intimidating and fear breaking the machine, thus reluctant to learn how to use them. Furthermore, many residents in skilled nursing facilities have hearing, visual, and motor skill impairments making computer utilization an immense challenge. Thus, this aged population that has so much to gain from using a computer for email, web surfing, online shopping, and connecting to the world around them are often unwilling or unable to operate a computer. The core of the research project discussed in this paper is a unique course entitled, Intergenerational Computing. Intergenerational Computing is an undergraduate service-learning course offered within the school of computer science for non-majors in collaboration with nursing faculty. Students enrolled in the course provide technology - - instruction to older adults as part of their service-learning experience. Older adults receive individualized tutoring in a non-threatening learning environment. Student-teachers assist to overcome the computer fears of the elderly while the elderly learn a new set of communication skills, while being mentally challenged. Other computing courses, including Computer Systems and Hardware, as well as Networking Technologies, contain service-learning term projects in the curriculum. Students select to build computer labs, install networks, and distribute refurbished computer equipment to disadvantaged senior citizens. Some students additionally chose to modify traditional mice and develop prototypes of Nintendo Wii™ remotes to be more accessible to older adults. Other students have installed software and hardware in computer labs, as well as virtually designed housing for a livable community project via Second Life - all specifically for the benefit of senior citizens. This paper presents a research project including objectives, description, assessments, lessons learned, and suggestions for successful replication. Tips for low or no budget training, as well as guidance for integrating service-learning projects into the IT course syllabus will be discussed.","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5784226"
"62","Towards t-government in Malaysia: Investigation of citizen's willingness to participate in democratic services and information privacy concern",2013,"The concept of t-government was started by the UK Government in 2006 and was construed as the enactment of three perspectives; (i) citizen centricity, (ii) shared service culture and (iii) professionalism. Their aim is to integrate information systems technologies (IST) that enables citizens' participation in the initial stages of policy development and the process of reengineering public services. Malaysia aims to be a developed nation and pushing its public service towards the realization of the t-government. After claiming success with several e-government applications that range from information provision to transactional services, currently it overlooks the essential aspect of the t-government that involves citizens' participation in the early stage of policy development as an exemplary of democratic practice. As a developing nation the existence of the digital gap between urban and rural citizens may hinder future plans for implementing t-government. To support future work towards participatory aspect in t-government we seek to gain some understanding of the needs of Malaysian citizens relating to citizen information privacy and citizens' participatory aspects of t-Government. We conducted a survey on 350 respondents from urban areas of Kuala Lumpur and the state of Selangor and also the rural areas of Selangor. The result of the survey showed a strong concern for personal information privacy and willingness to participate for both urban and rural citizens. The result of this study will be a basis for developing the privacy framework in the t-government.","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6716737"
"63","Low-cost moored instrumentation for citizens' education and participation in environmental stewardship",2013,"One goal of the Citclops European project is to approach citizens and improve their understanding of aquatic environmental observations and monitoring for the enhancement of community decision-making and cooperative planning. As a potential solution to estimate water transparency related parameters, a low cost instrument is proposed, integrating quasi-digital optical sensors in the open-hardware Arduino platform.","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6608176"
"64","Mix4Crowds - Toward a framework to design crowd collaboration with science",2013,"Citizen Science projects are characterized by mass collaboration of ordinary citizens with scientific research. The advent of new crowdware technologies and the ease of access made possible by the Internet are reshaping the way people and scientific organizations work together. However, the particular nature of this form of collaboration requires a tailored approach that increases the chances of all involved parties meet their expectations and achieve their goals. We propose a conceptual framework to help Citizen Science enterprises in conceiving their crowdsourcing strategy and designing their collaboration systems. It departs from basic principles of traditional marketing models and incorporates the specific requirements of this increasingly popular but also complex form of web-based collaborative work.","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6580940"
"65","UDesignIt: Towards social media for community-driven design",2012,"Online social networks are now common place in day-to-day lives. They are also increasingly used to drive social action initiatives, either led by government or communities themselves (e.g., SeeClickFix, LoveLewisham.org, mumsnet). However, such initiatives are mainly used for crowd sourcing community views or coordinating activities. With the changing global economic and political landscape, there is an ever pressing need to engage citizens on a large-scale, not only in consultations about systems that affect them, but also involve them directly in the design of these very systems. In this paper we present the UDesignIt platform that combines social media technologies with software engineering concepts to empower communities to discuss and extract high-level design features. It combines natural language processing, feature modelling and visual overlays in the form of “image clouds” to enable communities and software engineers alike to unlock the knowledge contained in the unstructured and unfiltered content of social media where people discuss social problems and their solutions. By automatically extracting key themes and presenting them in a structured and organised manner in near real-time, the approach drives a shift towards large-scale engagement of community stakeholders for system design.","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6227089"
"66","Visually Exploring Social Participation in Encyclopedia of Life",2012,"Social network visualization is useful for understanding the complex structure of collaborative efforts such as citizen science projects. It has been widely accepted by social network analysts for exploring and analyzing networks by visually showing their members, the relationships among them, and their behaviors and attributes. The strength of social network visualization can be increased even further, by incorporating the time dimension of evolving networks. We analyzed the conversation network of a collaborative citizen science web platform called the Encyclopedia of Life using dynamic network visualization methods. This paper shows how the temporal visualization was applied to the social collaboration analysis of EOL and presents the findings. We found that some EOL web site features increased the interactive as well as individual member activities. We also found evidence that EOL curator activities encouraged the activities of other members.","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6542435"
"67","eGovernment framework",2014,"The application of information and communication technology is conceived as a chance to amplify the capacity of the citizens to act, strengthen cross-border contacts and relations, and develop an open society with cultural diversity. This seminar systematically reviews and presents the use of web-based services for government, administration, the public, and politics. A process-oriented layer model defines the options of exchange and participation: eAssistance, eProcurement, eService, eContracting, eSettlement, eCollaboration, eDemocracy, and eCommunity. Additional case studies show practical applications for an open information- and knowledge-based society.","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6819930"
"68","E-government, politics and Web 2.0",2010,"The advent of Web 2.0 has created abundant opportunities for reinventing businesses and governments. Web 2.0, coined by Tim O'Reilly in 2004, is the idea of mutually maximizing collective intelligence and added value for each participant by dynamic information sharing and creation. Accompanied by the Web 2.0 technologies and services have spread around the world at an amazing pace and are used by millions of people every day. Many public service organizations are also adopting Web 2.0 applications as a means of improving their ability to collaborate and serve citizens more effectively. Web 2.0 tools allow governments to develop two-way communication with their citizens. As such, these tools hold the potential for enhancing citizen participation in online government offerings. Blogs, wikis, chat rooms, podcasts, Really Simple Syndication (RSS) and other applications are all part of this process and are tentatively being adopted to accelerate e-Government. These trends also pose big concerns around privacy, security, authenticity, and access that need to be addressed. Government faces cultural challenges as well, including agency hierarchy and accountability issues that need attention. Though it may not be obvious, essentially the road marks in web 2.0 are political: grassroots participation, forging new connections, and empowering from the ground up. The ideal democratic process is participatory and web 2.0 is about democratizing digital technology. From the other end of the spectrum, it may therefore be relevant to ask, if there has been a shift in political use of the internet and digital new media, how do broader the communication of politics and policy making towards web 2.0 impact? Does web 2.0 hinder or help democratic citizenship? This paper attempts to figure out e-government and politics engagement in the context of Web 2.0.","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5488529"
"69","Influential Aspects of the Smart City",2016,"Using millions of sensors in everyday objects, smart cities will generate petabytes of data, and it will be delivered to multiple users via networks. Multi-disciplinary inter-operability is essential. We propose system engineering management, with multidisciplinary teams as an effective way to deliver real change. Their goal is to develop intelligent and integrated services through the use of digital technologies and open collaboration. We also caution that the process cannot be entirely planned ahead of time, it must be allowed to evolve. New technology will change the game (where does a 3-D printer fit into a smart city?). Municipal planning means central planning -- not known for its sensitivity to reality. A successful smart city will include lots of feedback mechanisms for the citizenry.","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7427778"
"70","Citizen-Based Litter and Marine Debris Data Collection and Mapping",2015,"Marine debris and plastic in our oceans is a global issue of increasing concern. However, the monitoring of litter and debris is challenging at the global scale because of disconnected local organizations and the use of paper and pen for documentation. The Marine Debris Tracker mobile app and citizen science program allow for the collection of global standardized data at a scale, speed, and efficiency that wasn't previously possible. The app also serves as an outreach and education tool, with a Web portal that instantly shows the data that users have logged. User engagement through a top tracker competition and social media keeps people interested in the Marine Debris Tracker community. More than 400,000 items have been tracked, with plastic being the most common category noted; maps provide both global and local distribution of data. The Marine Debris Tracker community and dataset continue to grow daily.","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7106412"
