Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type,Abstract
Technological research plan for active ageing,Information Systems Frontiers,,14,3,10.1007/s10796-011-9295-z,Hamideh AfsarmaneshSimon Samwel MsanjilaLuis M. Camarinha-Matos,2012,http://link.springer.com/article/10.1007/s10796-011-9295-z,Article,"The ePAL initiative aimed at developing a roadmap for extension of professional active life of the retiring and retired knowledge workers in developed countries and specifically in Europe. Three main perspectives are identified in this roadmap, and defined to comprehensively address relevant dimensions of the ePAL environment. These three perspectives consist of: (1) the technological perspective that addresses the needed technology and the support services, (2) the societal perspective that addresses both the human factors and the societal aspects, and (3) the organizational perspective that addresses both the economic / managerial and governmental aspects of these environments. This document however aims to zoom in on the technological perspective of the roadmap. Following a brief description of the three main perspectives of the ePAL environment, it introduces the four main ICT research and development areas that are identified for strengthening and realization of active ageing. The technological perspective of the ePAL’s vision constitutes a substantial part of the roadmap recommendations. This article further addresses the state of the art in each of these four areas and exemplifies their application needs in the ePAL environment."
Social Networks and University Spaces. Knowledge and Open Innovation in the Ibero-American Knowledge Space,"RUSC, Universities and Knowledge Society Journal",,9,1,10.7238/rusc.v9i1.1100,Daniel Domínguez FigaredoJosé Francisco Álvarez Álvarez,2012,http://link.springer.com/article/10.7238/rusc.v9i1.1100,Article,"Information technology-based social spaces can open up new ways to facilitate the university community’s participation in decision-making processes. Although the appropriation of technology is very high and widespread among university groups, there is a very weak presence of suitable structures and processes that enable institutions to channel online participation, to analyse their impact on improving organisational goals and, ultimately, to make use of such open processes as a means of generating innovations in their main lines of action. Based on the experience of coordinating the UniversiaG10 project, the Social Web platform of the 2nd Universia International Meeting of Rectors, this article proposes some innovations and elements that justify the need to move towards true e-governance of universities."
Collaboration technology in teams and organizations: Introduction to the special issue,Information Systems Frontiers,,18,1,10.1007/s10796-016-9632-3,Gert-Jan de VreedePedro AntunesJulita VassilevaMarco Aurélio GerosaKewen Wu,2016,http://link.springer.com/article/10.1007/s10796-016-9632-3,Article,--Abstract not found--
"Sociomaterial actors in the assimilation gap: a case study of web service, management and IT-assimilation",Information Systems and e-Business Management,,11,4,10.1007/s10257-012-0205-9,Klas GäreUlf Melin,2013,http://link.springer.com/article/10.1007/s10257-012-0205-9,Article,"This paper investigates the conditions for the assimilation of information systems (IS) and information technology (IT) in organizations and the influence of various actors in the organization and eBusiness context. To do so it draws on the literature on assimilation gap, sociomateriality and infrastructure together with a study of implementation and use of information and communication technology in and among organizations in a Swedish region. There were substantial investments in web infrastructure made on a regional level and the focus of this study is how the investments were transformed and assimilated in practices, relations and communication. Based on the empirical data from the case study, the paper extends the assimilation process into interplay among actors in organizations contexts. It describes organizations’ strategies for coping with their needs for information and the actors in these processes. Two categories of actors are identified, sensemaking and sensegiving actors, as most important in assimilation of IS/IT in organizations. A sociomaterial perspective gives guidance and a better understanding of the assimilation process in terms of knowledge and interpretative frames, and how assimilation involves identity construction and negotiations among sensemaking and sensegiving actors. The contribution of this paper is a better understanding of the context of assimilation and adaptation of IT in organizations’ business processes, and steps to be taken to improve readiness."
A web-based community-building archives project: a case study of Kids in Birmingham 1963,Archival Science,,15,4,10.1007/s10502-015-9246-4,Sonia YacoAnn JimersonLaura Caldwell AndersonChanda Temple,2015,http://link.springer.com/article/10.1007/s10502-015-9246-4,Article,"Recent archival literature on social justice emphasizes activism—the importance of documenting social activism and activists, and activists’ use of archives for promoting social justice. Left out of these discussions is the role archives can play in helping to capture the experiences of bystanders—passive participants—during times of tumultuous social change. Recording those stories provides a more nuanced view of times of great change in society and helps people place their own experiences in historic context. Civil rights activists and their opponents’ racist violence in 20th century at Birmingham, Alabama, in the USA, have been well documented. The experiences of passive participants have not been entered into the historic record. This case study examines a web-based hybrid heritage project that provides a forum for people raised in Birmingham to share their experiences in the watershed year, 1963. Kids in Birmingham 1963 (referred to as Kids) contain curated first-person accounts and educational tools. The project acts as a clearinghouse, proactively marketing its content and making its contributors available for direct interviews with the media, educators, and students. The Kids project has created a new community that could not have existed 50 years ago because of segregation. Contributors and users find benefits in opportunities to inspire younger generations to join the cause for social justice. The authors propose using the techniques employed in this project and its sister project, Desegregation of Virginia Education, to develop a model that can enable communities to create a rich historical record and make it widely available through mass media, social media, and educational outlets."
"E-government implementation: A bird’s eye view of issues relating to costs, opportunities, benefits and risks",Information Systems Frontiers,,17,4,10.1007/s10796-013-9472-3,Vishanth WeerakkodyZahir IraniHabin LeeIbrahim OsmanNitham Hindi,2015,http://link.springer.com/article/10.1007/s10796-013-9472-3,Article,"After more than a decade of comprehensive research work in the area of electronic government (e-government), no attempt has yet been made to undertake a systematic literature review on the costs, opportunities, benefits and risks that influence the implementation of e-government. This is particularly significant given the various related challenges that governments have faced over the years when implementing e-government initiatives. Hence, the aim of this paper is to undertake a comprehensive analysis of relevant literature addressing these issues using a systematic review of 132 studies identified from the Scopus online database and Google Scholar together with a manual review of relevant papers from journals dedicated to electronic government research such as Electronic Government, an International Journal (EGIJ), International Journal of Electronic Government Research (IJEGR) and Transforming Government: People, Process, and Policy (TGPPP). The overall review indicated that although a large number of papers discuss costs, opportunities, benefits and risks, treatment of these issues have tended to be superficial. Moreover, there is a lack of empirical studies which can statistically evaluate the performance of these constructs in relation to the various e-government systems. Therefore, this research would help governments to better analyse the impact of costs, opportunities, benefits and risks on the success of e-government systems and its pre-adoption from an implementation perspective."
Information Sharing Among Disaster Responders - An Interactive Spreadsheet-Based Collaboration Approach,Computer Supported Cooperative Work (CSCW),,23,4 - 6,10.1007/s10606-014-9207-0,Athula GinigeLuca PaolinoMarco RomanoMonica SebilloGenoveffa TortoraGiuliana Vitiello,2014,http://link.springer.com/article/10.1007/s10606-014-9207-0,Article,"Recent natural disasters have led crisis management organizations to revise their protocols so as to rely on the contribution of a wider range of actors, including simple citizens as well as expert operators, to support decision making activities. Reliable and timely information sharing among members of distributed teams of disaster responders has become paramount for the success of the overall crisis management process. In this paper we propose a crisis management system based on spreadsheet-mediated collaboration among on-site responders and decision makers. To share data a common spreadsheet artifact has been developed by using a participatory design approach which is accessed through mobile user interfaces. The evaluation results showed that the use of the spreadsheet artifact has resulted in more effective decision making relating to set of earthquake management scenarios in high-risk areas located in Italy."
A framework for cloud-based context-aware information services for citizens in smart cities,Journal of Cloud Computing,,3,1,10.1186/s13677-014-0014-4,Zaheer KhanSaad Liaquat KianiKamran Soomro,2014,http://link.springer.com/article/10.1186/s13677-014-0014-4,Article,"In the context of smart cities, public participation and citizen science are key ingredients for informed and intelligent planning decisions and policy-making. However, citizens face a practical challenge in formulating coherent information sets from the large volumes of data available to them. These large data volumes materialise due to the increased utilisation of information and communication technologies in urban settings and local authorities’ reliance on such technologies to govern urban settlements efficiently. To encourage effective public participation in urban governance of smart cities, the public needs to be facilitated with the right contextual information about the characteristics and processes of their urban surroundings in order to contribute to the aspects of urban governance that affect them such as socio-economic activities, quality of life, citizens well-being etc. The cities on the other hand face challenges in terms of crowd sourcing with quality data collection and standardisation, services inter-operability, provisioning of computational and data storage infrastructure."
Motivating participation in social computing applications: a user modeling perspective,User Modeling and User-Adapted Interaction,,22,1 - 2,10.1007/s11257-011-9109-5,Julita Vassileva,2012,http://link.springer.com/article/10.1007/s11257-011-9109-5,Article,"The explosive growth of Web-based social applications over the last 10 years has led people to engage in online communities for various purposes: to work, learn, play, share time and mementos with friends and family and engage in public action. Social Computing Applications (SCA) allow users to discuss various topics in online forums, share their thoughts in blogs, share photos, videos, bookmarks, and connect with friends through social networks. Yet, the design of successful social applications that attract and sustain active contribution by their users still remains more of an art than a science. My research over the last 10 years has been based on the hypothesis that it is possible to incorporate mechanisms and tools in the design of the social application that can motivate users to participate, and more generally, to change their behavior in a desirable way, which is beneficial for the community. Since different people are motivated by different things, it can be expected that personalizing the incentives and the way the rewards are presented to the individual, would be beneficial. Also since communities have different needs in different phases of their existence, it is necessary to model the changing needs of communities and adapt the incentive mechanisms accordingly, to attract the kind of contributions that are beneficial. Therefore User and Group (Community) Modeling is an important area in the design of incentive mechanisms. This paper presents an overview of different approaches to motivate users to participate. These approaches are based on various theories from the area of social psychology and behavioral economics and involve rewards mechanisms, reputation, open group user modeling, and social visualization. Future trends are outlined towards convergence with the areas of persuasive systems design, adaptive/personalized systems, and intelligent social learning environments."
Public sector engagement with online identity management,Identity in the Information Society,,3,3,10.1007/s12394-010-0079-2,D. Barnard-WillsD. Ashenden,2010,http://link.springer.com/article/10.1007/s12394-010-0079-2,Article,"The individual management of online identity, as part of a wider politics of personal information, privacy, and dataveillance, is an area where public policy is developing and where the public sector attempts to intervene. This paper attempts to understand the strategies and methods through which the UK government and public sector is engaging in online identity management. The analysis is framed by the analytics of government (Dean 2010) and governmentality (Miller and Rose 2008). This approach draws attention to the wide assemblage of public and private actors with shared regimes of practice and fields of visibility, as well as to the extent to which individual actors are made responsible for their own identity management. The paper also uses communication and discursive research to examine the potential failings of engagement efforts. Communication theory suggested that the assumption of individual responsibility, alongside linguistic distortions created by this way of understanding the problematic of identity management, complicate and fundamentally limit engagement activity."
Creating health awareness: a social media enabled collaboration,Health and Technology,,4,1,10.1007/s12553-013-0068-1,Liette LapointeJui RamaprasadIsabelle Vedel,2014,http://link.springer.com/article/10.1007/s12553-013-0068-1,Article,"Social media has been an enabler of information dissemination, collaboration and coordination for reasons ranging from personal to political. In healthcare, the context we study here, information dissemination is a key mechanism of creating awareness, a crucial factor in the early detection and prevention of diseases. Thus, in this paper, we look at the role of social media in creating cancer awareness. In particular, we use a multiple case study analysis to examine how individuals and organizations use social media to collaborate to promote such awareness. We find that social media is used to create an online community that drives the creation of cancer awareness in many different ways and for multiple purposes. This research has implications for healthcare organizations in particular, who are looking to use social media to promote awareness, as well as other organizations who may want to use social media in this way."
Collective Intelligence in Organizations: Tools and Studies,Computer Supported Cooperative Work (CSCW),,21,4 - 5,10.1007/s10606-012-9165-3,Antonietta GrassoGregorio Convertino,2012,http://link.springer.com/article/10.1007/s10606-012-9165-3,Article,--Abstract not found--
On the value of Second Life for students’ engagement in blended and online courses: A comparative study from the Higher Education in Greece,Education and Information Technologies,,20,3,10.1007/s10639-013-9294-4,Nikolaos PellasIoannis Kazanidis,2015,http://link.springer.com/article/10.1007/s10639-013-9294-4,Article,"Nowadays three-dimensional (3D) multi-user virtual worlds (VWs) are the most well-known candidate platforms in Higher education. Despite the growing number of notable studies that have presented VWs as valuable platforms for the e-Education, there is still a paucity of a comparative study in order to be determined the degree of the students’ engagement in constructionist-collaborative learning scenarios. Concurrently, it seems imperative the need for educators and scholars to identify how can VWs influence students’ engagement in contemporary and reliable instructional formats, mainly on blended or online settings for university-level courses. In this study the effects of students’ achievements were measured by comparing the degree of students’ engagement from two student groups (graduate and undergraduate) enrolled in two different instructional formats (blended/online) held in Second Life (SL) to become learning content developers. The purpose of the current research is to present results from the comparative study of one hundred twenty-five (125) students that finally attended in order to be measured their engagement overall as a multi-dimensional construct consisting of the emotional, behavioral and cognitive factors. The study findings from the quantitative analysis have disclosed that graduate students who participated in online courses achieved more positive learning outcomes and as a result the degree of their engagement was significantly increased than those who enrolled with the blended. In these circumstances there are raised some fundamental educational implications which are also discussed."
Stories for Hope–Rwanda: a psychological–archival collaboration to promote healing and cultural continuity through intergenerational dialogue,Archival Science,,14,3 - 4,10.1007/s10502-014-9232-2,David A. WallacePatricia PasickZoe BermanElla Weber,2014,http://link.springer.com/article/10.1007/s10502-014-9232-2,Article,"Can archives help heal and extend the benefit of therapeutic interventions in a post-genocide environment? We sought to probe this question through an uncommon collaborative documentation and research project linking psychology and archival science: Stories for Hope–Rwanda (SFH). This intergenerational dialogue project between youth and elder pairs in post-genocide Rwanda draws upon a collective narrative model from psychology and both community and participatory models from archives. The paper reports on three aspects of this endeavor: (1) description of SFH as a process of dialogue generation and archiving; (2) content analysis of the knowledge post-genocide youth sought from their elders; and (3) a qualitative evaluation of what benefits youth and elder pairs reported 6–12 months after their dialogue session, including how participants made use of a personal copy of their dialogue and their decision making and perceptions on making their dialogues more widely available. Specifically, we wanted to know whether psychological benefits would accrue if the silences about genocide could be breached by intergenerational dialogues and whether audio recordings of the dialogues archived for personal, national, and international use could motivate youths and elders over the hurdle of silence and extend the benefits of the dialogues to others. In contrast to interview-driven genocide testimonies, each youth asked an elder to answer some burning questions about the past. In response, elders were directed to share personal, true, and positively helpful stories from their past experiences. Through these efforts, SFH consciously sought to democratize the creation, control, custody, and access to the archive resulting from the recorded dialogues. Based on our analysis, we found that youth were eager to learn most about the genocide (causes, prevention, and stories of loss and survival), followed by family history, marriage, Rwandan culture, living as an orphan, and strategies for forgiveness and reconciliation. We also found that the archival component of the project significantly contributed to both the motivation for participation and the extent of participants’ healing. We conclude that this approach can be productively expanded to other post-conflict and post-genocide communities where silence about a traumatic past reigns triumphant and undermines the ability of youth to map a positive future."
From the internet of things to embedded intelligence,World Wide Web,,16,4,10.1007/s11280-012-0188-y,Bin GuoDaqing ZhangZhiwen YuYunji LiangZhu WangXingshe Zhou,2013,http://link.springer.com/article/10.1007/s11280-012-0188-y,Article,"The Internet of Things (IoT) represents the future technology trend of sensing, computing, and communication. Under the Wisdom Web of Things (W2T) vision, the next-generation Internet will promote harmonious interaction among humans, computers, and things. Current research on IoT is primarily conducted from the perspective of identifying, connecting, and managing objects. In this paper, however, we attempt to enhance the IoT with intelligence and awareness under the W2T vision. By exploring the various interactions between humans and the IoT, we extract the “embedded” intelligence about individual, environment, and society, which can augment existing IoT systems with user, ambient, and social awareness. The characteristics, major applications, research issues, the reference architecture, as well as our ongoing efforts to embedded intelligence are also presented and discussed."
Communities: with open-source software towards a vivacious civil society,AI & SOCIETY,,,,10.1007/s00146-015-0595-6,Norbert Jesse,2015,http://link.springer.com/article/10.1007/s00146-015-0595-6,Article,"
            Local communities in Germany are under great pressure to modernize their services: high depth rate, increasing expectations concerning the quality of the services, socio-demographic change, environmental issues, regional competition—to name only a few of the challenges. In a society based on a federal structure and the principle of subsidiarity, it is almost natural to demand a vivid community with active citizens. Today, with the advent of social media and the new channels of communication, the question is how to leverage the benefits of this concept for local issues. More precise: How can the competence of the citizens be activated to make conditions of living in the neighbourhoods more attractive? In this paper, we discuss technical requirements for an open government. The SAGA standard of the Federal German Government strongly supports the notion of open-source software. With OpenSAGA, we introduce a new, performant and SAGA-compliant framework for the implementation of web applications for e-Government. Consequently, OpenSAGA is the platform for an OpenGovernment Suite, an extended prototype for affordable and interoperable open government solutions."
A universal design resource for rich Internet applications based on design patterns,Universal Access in the Information Society,,13,2,10.1007/s10209-013-0291-6,Daniela FogliLoredana Parasiliti ProvenzaCristian Bernareggi,2014,http://link.springer.com/article/10.1007/s10209-013-0291-6,Article,"Rich Internet applications have removed most of the constraints of Web 1.0 while giving users more responsiveness and advanced browsing and interaction experiences. These new horizons, however, raise many challenges for people with disabilities or using limited hardware and software technologies, whose risk to be excluded from the benefits deriving from advanced web applications. To address this problem, WCAG 2.0 guidelines have been released as the newest World Wide Web Consortium recommendation for accessible web content, and WAI-ARIA is a candidate recommendation which provides reference specifications for accessible rich Internet applications. However, both specifications contain a huge amount of information that often discourages most web designers from dealing with accessibility issues. Moreover, guidelines are suitable and usually adopted to judge a design solution a posteriori, but they do not suggest how to face a design problem constructively. This paper proposes a design pattern language for accessibility. The language can be regarded as a universal design resource for helping web designers create accessible rich Internet applications compliant with the most recent standards. Knowledge representation through design patterns reflects the problem-solving approach usually followed by software and web designers, while pattern organization in a structured language aims to guide web designers throughout the design process. The language has been implemented as an accessible rich Internet application itself, thus allowing designers with disabilities to participate in web design. In order to evaluate the design pattern language, a three-step process was carried out including: (1) a heuristic analysis with a group of human–computer interaction experts, (2) a survey study with a group of web designers, and (3) a validation on the field with two designers who have been requested to apply the language in real design cases."
"Reputation, inequality and meeting techniques: visualising user hierarchy to support collaboration",Computational and Mathematical Organization Theory,,20,2,10.1007/s10588-013-9165-y,Karin HanssonPetter KarlströmAron LarssonHarko Verhagen,2014,http://link.springer.com/article/10.1007/s10588-013-9165-y,Article,"Equality within groups is ordinarily taken for granted when technology for e-democracy is conceived and developed. However, inequality in online communication is just as common as in other social contexts. Therefore, we have developed a groupware with the express purpose of illuminating imbalance of power. Inequalities are measured and made visible to users of the system, and they change dynamically as actions are taken by users. The system is based on democratic meeting techniques and is reminiscent of a strategy game based on social media. Each participant’s score within the game is dynamically calculated and reflects that user’s activity, others’ reactions to that activity and reactions to others’ activities. The calculations and weighing mechanisms are open to inspection and change by the users, and hierarchical roles reflecting game levels may be attached to system rights belonging to individual users and user groups. The prototype we present stems from the question of how to conceive of groupware based on diversity and is the result of combining social theory with algorithms for modelling and visualising user hierarchy and status. Empirical user tests suggest improvements to the prototype’s interface, which will be implemented and further evaluated by embedding the algorithms in a system for e-participation."
"The impact of computer self-efficacy, situational interest and academic self-concept in virtual communities of inquiry during the distance learning procedures through Second Life",World Wide Web,,17,4,10.1007/s11280-013-0266-9,Nikolaos PellasIoannis Kazanidis,2014,http://link.springer.com/article/10.1007/s11280-013-0266-9,Article,"The current study investigates a case where the online learning procedure in three-dimensional (3D) technologically-advanced environments of the Web 2.0 is growing at an exponential rate. In this occasion it is highly imperative need to understand students’ interactions in this innovative mode of e-Education that requires from educators and scholars not only analysis conceptually, but also an empirically-driven optimization. The community of inquiry (CoI) model (or framework) consists to be as one of the most prominent multi-dimensional constructs that it is widely used to represent several distinct dimensions of social presence, teaching presence and cognitive presence, as a unique and fundamental theoretical concept to measure students’ interactions in contemporary electronic environments. Although, the effectiveness of these multi-dimensional constructs creates a dilemma to researchers who want the breadth and comprehensiveness of this model for the precision and clarity of users’ (instructors and students) dimensions with other motivational and learning variables. To address this dilemma, the current empirical study presents statistical analyses from the “trinity” constructs of the CoI model by utilizing correlation and hierarchical regression analyses with two fundamental motivational (computer self-efficacy and situational interest) and another one learning (academic self-concept) variables. This study goes one step further and introduces the conspicuously indisputable intervention of a virtual (V)CoI and its utilization in multi-user virtual worlds, like Second Life (SL). The study findings of one hundred thirty-five (135) participants who enrolled in several online sessions unveiled that the situational interest was the only significant predictor of social presence. The computer self-efficacy was not a significant predictor of the CoI model, while on the other hand academic self-concept was a significant predictor in a revamped attempt to validate the strong relationship among constructs within it. According to the aforementioned reasons, it can be surmised that the successful combination of the VCoI in Second Life, surpassing irrefutable and inherent shortcomings to a future-driven sustainable use and growth."
Human capabilities and information and communication technology: the communicative connection,Ethics and Information Technology,,13,2,10.1007/s10676-010-9260-4,William F. Birdsall,2011,http://link.springer.com/article/10.1007/s10676-010-9260-4,Article,"The potential contributions information and communication technology (ICT) can make to advancing human capabilities are acknowledged by both the capability approach (CA) and ICT communities. However, there is a lack of genuine engagement between the two communities. This paper addresses the question: How can a collaborative dialogue between the CA and ICT communities be advanced? A prerequisite to exploring collaboratively the potential use of particular technologies with specific capabilities is a conceptual framework within which a dialogue can be undertaken to advance the operationalization of capabilities through the use of ICT. A communicative connection constituted of a dialogic space consisting of the CA and ICT communities and a set of normative values and objectives is proposed. The normative values of the communicative connection are derived from the human right to communicate (RTC) which serves as axiomatic principle of the communicative connection. The shared objectives are to operationalize through the use of ICT both the capability and the right to communicate, which are distinct but present in and reinforce each other. Alternative concepts of communication and freedom of expression to those held by the two communities is presented along with a comparison of the values embodied in the RTC and found in the CA."
Knowledge sharing for sustainable development in civil engineering: a systematic review,AI & SOCIETY,,27,4,10.1007/s00146-011-0369-8,Nicholas MeeseChris McMahon,2012,http://link.springer.com/article/10.1007/s00146-011-0369-8,Article,"Sustainable development (SD) knowledge in civil engineering-related disciplines is evolving rapidly. As such, it is increasingly important that engineers share SD knowledge to allow them to systematically enhance the environmental performance of engineered systems. This systematic review identifies published primary data collection studies of SD knowledge sharing (KS) approaches in a civil engineering-related context with the aim of understanding the KS concepts studied, the research strategies used and the key KS findings. A predefined research protocol guided the selection of relevant studies. Analysis revealed that collaboration and education were the major KS concepts and that most studies reside at the positivist end of the research strategy spectrum. Practically all of the identified studies emphasise the need for social interfacing, which enhances the way engineers share complex SD knowledge. The article concludes by describing the practical implications of the research."
Turking in a Global Labour Market,Computer Supported Cooperative Work (CSCW),,25,1,10.1007/s10606-015-9241-6,David MartinJacki O’NeillNeha GuptaBenjamin V. Hanrahan,2016,http://link.springer.com/article/10.1007/s10606-015-9241-6,Article,"This paper examines how working in the global labour market of Amazon Mechanical Turk (AMT) impacts upon and is understood by two different groups of workers. To do this we report on two qualitative studies; one of US and another of Indian crowdworkers (or ‘Turkers’) that we analysed from an ethnomethodological orientation. Our data is naturalistic and comes from a variety of sources—interviews, observations and forum posts—where Turkers describe their work, and their understandings of that work and of the transnational market they work in. We compare and contrast their situations, their reflections on the marketplace and its global reach, and we take a look at their understandings of one another. Our focus is on ‘the work to making turking work’ (Martin et al. 2014). That is, the work that turkers do to organise and make sense of their work as they operate in the AMT marketplace, such that they can do so effectively. AMT is a technologically mediated marketplace—that is the distribution, completion and payment of work is done online, almost completely through the AMT platform. The design of the platform has important consequences for how Turkers experience and understand the market (including its global or transnational nature). We discuss how our findings relate to a variety of CSCW issues and provide an initial examination of how they relate to globalisation both as a mundanely experienced phenomenon and as a topic of academic interest. We finish the article by drawing on our own experiences in research and design to look at how technology can be used to intervene in a market like this to try to address imbalances in power and agency between employers and workers."
From GPS and virtual globes to spatial computing - 2020,GeoInformatica,,19,4,10.1007/s10707-015-0235-9,Shashi ShekharSteven FeinerWalid G. Aref,2015,http://link.springer.com/article/10.1007/s10707-015-0235-9,Article,"Spatial computing is a set of ideas, solutions, tools, technologies, and systems that transform our lives with a new prospect of understanding, navigating, visualizing and using locations. In this community whitepaper, we present a perspective on the changing world of spatial computing, research challenges and opportunities and geoprivacy issues for spatial computing. First, this paper provides an overview of the changing world of spatial computing. Next, promising technologies that resulted from the integration of spatial computing in the everyday lives of people is discussed. This integration results with promising technologies, research challenges and opportunities and geoprivacy issues that must be addressed to achieve the potential of spatial computing."
Web service platform for automatic generation of O/D matrix,EURASIP Journal on Wireless Communications and Networking,,2014,1,10.1186/1687-1499-2014-115,Luis Felipe Herrera-QuinteroKlaus BanseYeimmy Cañon-LozanoAngie Melo-CastilloCesar Augusto Gomez-Perilla,2014,http://link.springer.com/article/10.1186/1687-1499-2014-115,Article,"Transportation planning is an important process to support the mobility of the cities, which is a growing problem in several Latin American countries. To face this problem, a normal transportation tool has been used, even until now, and it is known as the origin/destination (O/D) matrix. This matrix allows estimation of the movement of users and future demand on the transportation system and helps improve the planning, travel allocation, and routes of transportation. The novelty of this paper is focused on the design and implementation of a web service platform that can construct automatically the O/D matrix. This platform takes advantage of the service-oriented architecture (SOA) approach and web and mobile applications for the construction of this matrix. In addition, the system is used for public transportation system and takes advantage of Bluetooth technology as a very good approach to construct this matrix."
Recommendations to support interaction with broadcast debates: a study on older adults’ interaction with The Moral Maze,AI & SOCIETY,,31,1,10.1007/s00146-014-0578-z,Rolando Medellin-GasqueChris ReedVicki L. Hanson,2016,http://link.springer.com/article/10.1007/s00146-014-0578-z,Article,"
            Current methods to capture, analyse and present the audience participation of broadcast events are increasingly carried out using social media. Uptake of such technology tools has so far been poor amongst older adults, and it has the worrying effect of excluding the demographic from participation. Our work explores whether a common desire to interact with debates can be tapped with technology with a very low barrier to entry, to both support better engagement with broadcast debates and encourage greater use of social media. This paper describes experiments where older adults interact with a BBC radio debate programme: The Moral Maze. As a result, we obtained common interaction patterns which then are used to define recommendations for software-supported interaction with debates based on theories of argumentation. Our goal is to combine research on computational models of argument and user-driven research on human-centred computing in a project with the potential for high-profile impact in addressing older adults inclusion in the digital economy.
            "
How the Internet transformed the software industry,Journal of Internet Services and Applications,,2,1,10.1007/s13174-011-0019-x,Anthony I. Wasserman,2011,http://link.springer.com/article/10.1007/s13174-011-0019-x,Article,"The growth of the Internet has had a huge impact on the software industry, from the ease of creating new businesses to the processes that companies use to develop, distribute, and support their products. Software architectures and platforms for web applications differ significantly from traditional desktop and client-server applications, and require a new generation of programming languages and development tools. Developers make extensive use of open source software, particularly at the infrastructure level of their applications. Development teams can easily use Internet-based tools for collaboration, thus facilitating distributed organizations. Product marketing now emphasizes attracting prospective customers to the company’s website. Companies can release products over the Internet, or provide a hosted web application, both of which are more efficient and less expensive ways to sell their products. Companies can also support their products over the Internet through online discussion forums, often with users helping one another. Ongoing advances in mobile and cloud computing, styles of user interaction, and software business models are certain to have a large effect, leading to innovative new products from both new and established companies."
"Mainstreaming the e-excluded in Europe: strategies, good practices and some ethical issues",Ethics and Information Technology,,12,2,10.1007/s10676-009-9213-y,David WrightKush Wadhwa,2010,http://link.springer.com/article/10.1007/s10676-009-9213-y,Article,"E-inclusion is getting a lot of attention in Europe these days. The European Commission and EU Member States have initiated e-inclusion strategies aimed at reaching out to the e-excluded and bringing them into the mainstream of society and the economy. The benefits of mainstreaming the excluded are numerous. Good practices play an important role in the strategies, and examples can be found in e-health, e-learning, e-government, e-inclusion and other e-domains. So laudable seems the rationale for e-inclusion, few have questioned the benefits. In fact, e-inclusion does raise ethical issues, and this paper discusses a few of the key ones. The paper draws several conclusions, principally regarding the need for some empirical research on what happens to the e-excluded once they have access to information and communications technologies, notably the Internet."
Bridging Identity Gaps—Supporting Identity Performance in Citizen Service Encounters,Computer Supported Cooperative Work (CSCW),,21,6,10.1007/s10606-012-9163-5,Nikolaj Gandrup BorchorstBrenda McPhailKaren Louise SmithJoseph FerenbokAndrew Clement,2012,http://link.springer.com/article/10.1007/s10606-012-9163-5,Article,"This paper explores in situ citizen service encounters in government offices. Drawing upon ethnographically informed fieldwork in Canada and Denmark, we discuss the challenges to supporting citizens in constructing and performing identities in public service settings. Our data suggests that citizens make use of at least three strategies in their attempts to perform the appropriate identities needed to “fit within the system” in specific encounters with government. There exists a strong correlation between citizens’ ability to perform identities that are compatible with the bureaucratic administrative processes and the quality and swiftness of the service they receive. As we bring to light in this paper, this “fitting in” with rigid bureaucratic procedures and IT systems interestingly requires a substantial collaborative effort between the receiver(s) of the service and a complex constellation of surrounding stakeholders and intermediaries. This collaboration and the performing of multiple identities raises challenges for the design of e-government systems aimed at supporting physical and digital citizen service provision, as well as issues regarding privacy, citizenship, and public service quality. Lastly, we turn to a discussion of how the established identity gaps can be addressed through design. Information and communication technologies as well as face-to-face encounters have an important role to play in the building of an interface to government. Here, it is paramount to consider the context in which people and systems must function in order to meet the need for dynamic identity performance."
Nature and roles for community networks in the information society,AI & SOCIETY,,25,3,10.1007/s00146-009-0261-y,Fiorella de CindioLaura Anna Ripamonti,2010,http://link.springer.com/article/10.1007/s00146-009-0261-y,Article,"This paper draws on the authors more than 10 years of involvement in the action research experience of the Milan Community Network. It discusses the roles that community networks play in the Information Society: starting from a neat characterization of “online community”, community networks are presented as ICT learning communities, as local online communities and as complementary to Digital Cities. Finally, critical insights into institutional aspects of community networks are considered from the perspective of their sustainability."
Learning and teaching with social network sites: A decade of research in K-12 related education,Education and Information Technologies,,,,10.1007/s10639-015-9446-9,Christine GreenhowEmilia Askari,2015,http://link.springer.com/article/10.1007/s10639-015-9446-9,Article,The increasingly widespread use of social network sites to expand and deepen one’s social connections is a relatively new but potentially important phenomenon that has implications for teaching and learning and teacher education in the 21st century. This paper surveys the educational research literature to examine: How such technologies are perceived and used by K-12 learners and teachers with what impacts on pedagogy or students' learning. Selected studies were summarized and categorized according to the four types introduced by Roblyer (2005) as studies most needed to move the educational technology field forward. These include studies that establish the technology’s effectiveness at improving student learning; investigate implementation strategies; monitor social impact; and report on common uses to shape the direction of the field. We found the most prevalent type of study conducted related to our focal topic was research on common uses. The least common type of study conducted was research that established the technology’s effectiveness at improving student learning. Implications for the design of future research and teacher education initiatives are discussed.
