Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,URL,Booktitle,Chapter,Abstract
doi:10.1108/JBIM-01-2013-0026,"Guenzi, Paolo & Panzeri, Federico",How salespeople see organizational citizenship behaviors: an exploratory study using the laddering technique,Journal of Business \& Industrial Marketing,30,2,,218-232,2015," http://dx.doi.org/10.1108/JBIM-01-2013-0026 
",,,"Purpose – The purpose of this paper is to more thoroughly investigate the role of organizational citizenship behaviors (OCBs) in sales force settings and the reason why salespeople should practice OCBs. In fact, in spite of the huge body of literature on OCBs and their impact on performance, some important knowledge gaps still remain to be filled. Inconsistent and unexpected findings are particularly apparent in the relatively few studies investigating OCBs in sales forces. The authors argue that some specific characteristics of the selling job and related tasks make the analysis of the practice of these behaviors in the sales context particularly interesting. Design/methodology/approach – The authors explore which OCBs salespeople engage in, and analyze the perceived consequences of such behaviors using means-end theory and the laddering technique. They apply means-end theory and the laddering technique to interview a sample of salespersons from three companies operating in different business-to-business settings. Findings – The end result of the empirical analysis is the hierarchical value map showing a set of linkages among OCBs and their perceived consequences. In the perceptions of salespeople, OCBs play a strong utilitarian role in that they facilitate personal goal attainment. In salespeople’s minds, there are no relevant trade-offs between OCBs and task-performance as long as the former can be used to improve the latter. For salespeople, the path from OCBs to performance may vary, depending on whether the performance in question is organizational, individual or customer-focused. Finally, some OCBs apparently contribute to creating customer trust in the salesperson. Research limitations/implications – The findings add some interesting insights to the discussion regarding some controversies in OCBs literature, especially the interplay of contextual performance and task performance. Practical implications – Various types of OCBs can be encouraged through different managerial interventions. As an example, altruism can be fostered by appropriate recruiting criteria (e.g. using “attitude toward teamwork” as a key personnel selection factor), and by training initiatives and leadership style. Altruism can also be stimulated by an adequately designed organizational structure (e.g. team-based) as well as by adopting appropriate integration mechanisms that facilitate interpersonal and interfunctional cooperation. Sales managers can foster some OCBs by promoting knowledge sharing and reciprocal learning among members of the sales team, and by emphasizing the positive consequences of OCBs in all communication with salespeople. Originality/value – Findings from this study challenge some widespread assumptions about OCBs in general. In fact, most of the literature holds that OCBs are an example of prosocial behaviors. Actually, the findings suggest that in the specific case of salespeople, OCBs are ultimately self-directed, for the most part."
doi:10.1108/AMHID-02-2015-0007,"Gupta, Jaya; Hassiotis, Angela; Bohnen, Ingrid & Thakker, Yogesh",Application of community treatment orders (CTOs) in adults with intellectual disability and mental disorders,Advances in Mental Health and Intellectual Disabilities,9,4,,196-205,2015," http://dx.doi.org/10.1108/AMHID-02-2015-0007 
",,,"Purpose – The purpose of this paper is to explore use of community treatment orders (CTOs) in adults with intellectual disability (ID) and mental health problems across England and Wales. Design/methodology/approach – A web-based exploratory survey was sent to 359 consultants on the database of the Faculty of the Psychiatry of ID, Royal College of Psychiatrists who had declared ID as their main speciality. Socio-demographic details of responding consultants, clinical characteristics of adults with ID on CTO, subjective views of consultants on using CTOs in people with ID were collected and analysed. Findings – In total, 94 consultant questionnaires were returned providing information on 115 patients detained under CTO. More than 75 per cent of the respondents had used CTO in their clinical practice. Patients subject to CTO were generally young, white males with mild ID and living in supported accommodation. CTOs were primarily used in situations of non-engagement (52.2 per cent), non-compliance with medication (47 per cent) or non-compliance with social care supports (49.6 per cent). Practical implications – Responding consultants expressed concerns about encroachment of civil liberties and ethics of using CTOs in people with ID who may lack capacity and stressed that decision to use CTOs needs to be therefore done on individual basis. Originality/value – This is the first national study to examine the practice of applying CTOs in adults with ID and mental disorders. Current practice is based on evidence from research done in adults with normal intelligence. Further research is needed to investigate the utility of CTOs in routine clinical practice in adults with ID and mental disorders."
doi:10.1108/SASBE-11-2012-0059,"Hayles, Carolyn S.; Dean, Moira; Lappin, Sarah A. & McCullough, Jane E.",Climate change adaptation: A decision support framework to encourage environmentally responsible behaviour,Smart and Sustainable Built Environment,2,2,,192-214,2013," http://dx.doi.org/10.1108/SASBE-11-2012-0059 
",,,"Purpose – In this paper, the authors present the Awareness Behaviour Intervention Action (ABIA) framework, a new system developed by them to support environmentally responsible behaviour (ERB). Design/methodology/approach – Previous ERB programmes have failed to deliver lasting results; they have not appropriately understood and provided systems to address ERB (Costanzo et al., 1986). The ABIA framework has been developed in line with behavioural studies in other disciplines. A preliminary pilot study has been carried out with social housing residents in order to understand the framework's efficacy. Findings – The ABIA framework enables a better understanding of current attitudes to environmental issues and provides support for ERB alongside technological interventions employed to promote carbon reduction. Research limitations/implications – The ABIA framework could be tested on individuals and communities in a variety of socio-economic, political and cultural contexts. This will help unpack how it can impact on the behaviours of individuals and communities including stakeholders. Practical implications – This type of research and the ABIA framework developed from it are crucial if the EU is to reduce is domestic carbon footprint and if the UK is to meet its pledge to become the first country in the world in which all new homes from 2016 are to be zero carbon. Social implications – The framework encourages both individual and community engagement in solving of sustainability issues. Originality/value – There are few studies that have developed a framework which can be used in practice to support behavioural change for adaptation to sustainable living in low- or zero-carbon homes."
doi:10.1108/AEDS-06-2015-0028,"Henderson, Deborah J. & Tudball, Elizabeth J.",Democratic and participatory citizenship: youth action for sustainability in Australia,Asian Education and Development Studies,5,1,,5-19,2016," http://dx.doi.org/10.1108/AEDS-06-2015-0028 
",,,"Purpose – The purpose of this paper is to provide a critical analysis of recent examples of action competence among young people engaged in democratic participatory action in sustainability programs in Australia. It explores examples of priorities identified for citizen action, the forms this action takes and the ways that democratic participation can achieve positive outcomes for future sustainability. It suggests multiple ways for developing action competence that provides further opportunities for authentic and engaging citizen action for youth connected to school- and community-based learning, in new and powerful ways. Design/methodology/approach – This conceptual paper examines international literature on the theory of “action competence,” its significance for education for sustainability (EfS) and the ways it can inform education for young people’s democratic participatory citizenship and civic engagement. It analyses examples of the development of action competency among young people in Australia, including the problems and priorities identified for citizen action, the forms this action takes and how it can achieve positive outcomes for sustainability. Following this analysis, the paper suggests multiple ways for developing action competence in EfS in schools and communities in new and powerful ways. Findings – Developing EfS to increase democratic and participatory action among young citizens is now widely regarded as an urgent education priority. There are growing exemplars of school and community organizations’ involvement in developing EfS learning and teaching to increase participatory citizenship. Young people are being empowered to develop a greater sense of agency through involvement in programs that develop action competence with a focus on sustainability in and out of school. New forms of participation include student action teams and peer collaboration among youth who are marshaling social media and direction action to achieve change. Originality/value – It contributes to the literature on multiple ways for developing action competence in EfS."
doi:10.1108/NLW-09-2014-0112,"Hill, Valerie",Digital citizenship through game design in Minecraft,New Library World,116,7/8,,369-382,2015," http://dx.doi.org/10.1108/NLW-09-2014-0112 
",,,"Purpose – This study aims to describe a library project exploring innovative options for embedding information literacy skills in the elementary school library by utilizing Minecraft, a virtual world three-dimensional (3D) building game environment. Design/methodology/approach – The small-scale descriptive study, with a follow-up survey, focuses on a group of fifth-grade students in an after-school technology club facilitated by the school librarian. The students designed and built a 3D virtual world library game for younger students to help them learn digital citizenship and information literacy. Findings – Analysis of observations, interviews and videos indicated that students were highly engaged in learning information literacy elements throughout all stages of the project from design, building, implementation and testing of younger students. Research limitations/implications – Although the small number of students enrolled in the club is a limitation, the feedback provided strong evidence of motivation for learning through gamification. Further research could assess learning outcomes with the curriculum, specifically for digital citizenship and information literacy. Practical implications – Embedding information literacy into a 3D world allows students to learn computer code, mathematics, game design, and fosters collaboration while demonstrating digital citizenship. Social implications – Game design requires teamwork, a real-life skill essential for students entering the work force. Originality/value – Few articles share student-designed solutions of critical information literacy needs. This study exemplifies constructivist learning in a gaming environment."
doi:10.1108/S2043-052320150000007003,"Hoff-Clausen, Elisabeth & Ihlen, Øyvind",The Rhetorical Citizenship of Corporations in the Digital Age,,,,,17-37,,http://www.emeraldinsight.com/doi/abs/10.1108/S2043-052320150000007003,Corporate Social Responsibility in the Digital Age,7," Abstract  Purpose The prime goal of this chapter is to discuss what the notion of rhetorical citizenship as a normative aspiration might entail for corporations.   Methodology/approach The chapter draws on a pilot study of the Facebook pages of two banks. A rhetorical criticism of these pages was conducted.   Findings We suggest that while corporations are assuredly entities very different from the individual citizens who hold civil, social, and political rights – which do not directly apply to corporations – rhetorical citizenship is nevertheless a suggestive and constructive metaphor for corporations to communicate by.   Research limitations/implications Rhetorical citizenship for corporations must, we argue, be(come) rooted in organizational reality, and should involve a continued critical questioning as to what might constitute citizenly communication for corporations under any given circumstances. The chapter is, however, built on limited data from a pilot study and needs to be complemented.   Practical implications We suggest from our pilot study that the active engagement of corporations in social media may currently be seen as one form of rhetorical citizenship that the public expects corporations to enact. Thus, we argue, corporations in general might as well attempt to do their best to act as rhetorical citizens.   Originality/value The chapter highlights how communication is a set of practices in which social responsibility must be enacted. We find that this is not a prevalent perspective in the existing literature on CSR and communication.  "
doi:10.1108/SO-12-2014-0029,"Hossain, Mokter & Kauranen, Ilkka",Crowdsourcing: a comprehensive literature review,Strategic Outsourcing: An International Journal,8,1,,2-22,2015," http://dx.doi.org/10.1108/SO-12-2014-0029 
",,,"Purpose – The purpose of this paper is to explore the development of crowdsourcing literature. Design/methodology/approach – This study is a comprehensive review of 346 articles on crowdsourcing. Both statistical and contents analyses were conducted in this paper. Findings – ISI listed journal articles, non-ISI listed journal articles and conference articles have had nearly the same contribution in crowdsourcing literature. Articles published in non-ISI listed journals have had an essential role in the initial theory development related to crowdsourcing. Scholars from the USA have authored approximately the same number of articles as scholars from all the European countries combined. Scholars from developing countries have been more relatively active in authoring conference articles than journal articles. Only very recently, top-tier journals have engaged in publishing on crowdsourcing. Crowdsourcing has proven to be beneficial in many tasks, but the extant literature does not give much help to practitioners in capturing value from crowdsourcing. Despite understanding that the motivations of crowds are crucial when planning crowdsourcing activities, the various motivations in different contexts have not been explored sufficiently. A major concern has been the quality and accuracy of information that has been gathered through crowdsourcing. Crowdsourcing bears a lot of unused potential. For example, it can increase employment opportunities to low-income people in developing countries. On the other hand, more should be known of fair ways to organize crowdsourcing so that solution seekers do not get a chance to exploit individuals committing to provide solutions. Research limitations/implications – The literature included in the study is extensive, but an all-inclusive search for articles was limited to only nine selected publishers. However, in addition to the articles retrieved from the nine selected publishers, 52 highly cited articles were also included from other publishers. Practical implications – Crowdsourcing has much unused potential, and the use of crowdsourcing is increasing rapidly. The study provides a thematic review of various applications of crowdsourcing. Originality/value – The study is the first of its kind to explore the development of crowdsourcing literature, discussing the loci and foci of extant articles and listing applications of crowdsourcing. Successful applications of crowdsourcing include idea generation, microtasking, citizen science, public participation, wikies, open source software and citizen journalism."
doi:10.1108/JACPR-11-2012-0014,"Hove, Mediel; Nyamunda, Tinashe & Mukwambo, Patience",Violent state operations at Chiadzwa (Zimbabwe) diamond fields 2006-2009,"Journal of Aggression, Conflict and Peace Research",6,1,,56-75,2014," http://dx.doi.org/10.1108/JACPR-11-2012-0014 
",,,"Purpose – The purpose of this paper is to investigate the debilitating socio-economic impact caused by the diamonds at Chiadzwa area in Zimbabwe on the illegal mining community that emerged and inhabited the hills of Chiadzwa between 2006 and the beginning of 2009. The research was carried out for academic proposes, as an advocacy strategy to expose the abuses and violent state operations perpetrated by the security forces. In addition, it intends to equip policy makers and implementers about the heavy handedness of Zimbabwe's security sector during its operations in the area in an effort to enable policy implementers to defend the rights of the affected people at Chiadzwa. Design/methodology/approach – The methodology engaged was chiefly qualitative and the study was a product of primary sources (especially in-depth interviews) and secondary sources (text books, journal articles, newspapers and the internet). Purposive and snowballing sampling techniques were used to collect the data between 2007 and 2009. Collected data were analysed and compiled between 2009 and 2013. Some of the names used in this study for our respondents are pseudo and this was done to ensure anonymity and secure the providers of information against possible retribution. On the other hand real names were used in particular where violent state driven operations were discussed. Findings – Initially the government of Zimbabwe was reluctant to intervene in the illegal extraction of diamonds in search of political leverage. Later it responded with violent manipulative strategies and operations with detrimental consequences on the illegal miners. The brutal strategies employed by individuals and the state led to injury, illness and death of people amid a harsh socio-economic environment. Research limitations/implications – A number of respondents preferred to use pseudonyms because they feared that information collected could be used against them. Practical implications – The study is a good example of conflict between the state machinery and its citizens over a natural resource. It reveals excessive use of force by the state which appears to be the norm in other countries where diamonds are dubbed “blood diamonds”. Social implications – In the midst of the diamond-related violence a new and vibrant social identity emerged commonly referred to as magweja. The area experienced challenges especially with regards to the provision of health services and the traditional use of herbs was endangered by the destruction of vegetation. Originality/value – It reveals a milieu, state regulation enforcement and security agents, magombiro (armed robbers or murderers) all who discharged violence on magweja the foremost victims of the violent systems and practices. In addition, it encourages policy markers and implementers to devise non-violent strategies when dealing with illegal exploitation of natural resources."
doi:10.1108/S2046-6072(2011)0000001020,"Hull, Richard",Chapter 7 Radical Dreams Soured by Elite Patronage: The Role of Clientelism in Steering UK Broadband Campaigns,,,,,177-198,,http://www.emeraldinsight.com/doi/abs/10.1108/S2046-6072%282011%290000001020,The Third Sector,21,"Purpose – This chapter describes how radical aims for community-owned broadband became compromised by the consequences of clientelism and elite patronage as some campaigners engaged in lobbying government.Design/methodology/approach – Five years of participant observation and an auto-ethnographic methodology richly describe the author's involvement in a community broadband co-operative, various regional and national support groups and finally with a national group conducting campaigning, research and co-ordination activities for community ownership of Next Generation Access broadband.Findings – This illustrates the difficulties faced by Third Sector and Civil Society organisations attempting to engage in lobbying activities in the same manner as conventional commercial lobbyists. In particular, it describes how lobbying necessitates a complex interlocking of activities, such as research, consultancy, conference organisation and other such forms of networking; and it describes how all of these activities can become subordinated to the interests of political patrons. It also suggests that the uncertainty around the meanings and relevance of the Third Sector/Civil Society has allowed the entry of older forms of exerting power such as clientelism and patronage.Research limitations/implications – Further research is needed into a much larger group of organisations to examine the processes by which Third Sector and Civil Society groups engage with government.Originality/value – The chapter uniquely applies Critical Management Studies and a political studies perspective on clientelism and patronage to the analysis of Third Sector and Civil Society organisations."
doi:10.1108/CCIJ-09-2014-0061,"Jain, Rajul & Winner, Lawrence H.",CSR and sustainability reporting practices of top companies in India,Corporate Communications: An International Journal,21,1,,36-55,2016," http://dx.doi.org/10.1108/CCIJ-09-2014-0061 
",,,"Purpose – The purpose of this paper is to contribute an international perspective to corporate social responsibility (CSR) and sustainability (Sus) discussions by examining CSR/Sus reporting practices of the 200 largest state-owned and private companies in India. Design/methodology/approach – The authors conduct a case study at the Danish carpet manufacturer EGE. The authors interpret the case from the perspective of pragmatic constructivism, which focusses on the integration of four dimensions: facts, possibilities, values, and communication. Findings – The analyses showed that while most companies share CSR/Sus information through their websites they associate different levels of importance to this communication. However, the study found that overall the CSR/Sus climate in India is showing signs of positive reform. Research limitations/implications – Being among the first, this study provides a framework for future studies to continue exploring CSR/Sus context in India, a country that despite its growing importance and influence has been largely ignored in the CSR/Sus literature. Practical/implications – The study outlines the current CSR/Sus reporting trends and best practices in India that can help managers and organizations identify issues and topics that they could channel their resources and efforts into to maximize returns and benefits in this area. Social/implications – This study provides insights into how corporations in an emerging and complex economy such as India are assuming roles of corporate citizens and are actively using web-based communication to engage and interact with stakeholders on issues that are of general concern. Originality/value – The value of this study is in providing empirical insights into the strategies that Indian companies use to report on their CSR/Sus policies and commitments. The study is among the first to examine CSR in India from a sustainability perspective, and evaluate compliance with global reporting standards among top corporations."
doi:10.1108/IJEFM-06-2013-0011,"Jepson, Allan; Clarke, Alan & Ragsdell, Gillian",Applying the motivation-opportunity-ability (MOA) model to reveal factors that influence inclusive engagement within local community festivals: The case of UtcaZene 2012,International Journal of Event and Festival Management,4,3,,186-205,2013," http://dx.doi.org/10.1108/IJEFM-06-2013-0011 
",,,"Purpose – The purpose of this paper is to debate on community engagement and participation in local community festivals and events by empirically analysing the factors which either inhibit or facilitate engagement. The application of the motivation-opportunity-ability (MOA) model to the analysis of community festivals is an important contribution. Design/methodology/approach – Recognising the complexity associated with community participation in festivals produced a set of four research questions which are addressed via a mixed methodology research design. The model was then tested using four key data collection methods including the interviews and the questionnaires analysed within this paper. Findings – The MOA model can be seen as an appropriate framework with which to analyse community engagement in a local community festival setting, in the case of “The Utcazene-Fesztival”, a Street Music Festival in Veszprém, Hungary. Community participation is often interpreted quite simply as a way of involving local people in community planning and development. However, within the realm of community festivals and events the reality reveals a multitude of stakeholder webs and interconnected decision-making processes within a multi-faceted phenomenon. The paper reflects on the value of the MOA model to guide analysis within event studies and further considers the methodological challenges that the study brings to events studies. Research limitations/implications – This paper presents two key data sets as part of a broader study of the MOA model. Due to size restrictions only the primary data derived through qualitative interviews and quantitative questionnaires are analysed here. Originality/value – Currently there is limited understanding, agreement and research within community engagement remains an increasingly important area of academic enquiry. This particular paper explores the central concepts of inclusivity and engagement which can be considered as fundamental to the creation of successful community festivals and events. The paper begins by defining community festivals and events; it builds on Jepson and Clarke's (2012) work on developing inclusive community festivals and events through inclusive participation within the planning and decision making process."
doi:10.1108/17538331111176084,"Jones, Brian & Temperley, John",Leeds Shopping Week: a case study,Journal of Place Management and Development,4,3,,272-281,2011," http://dx.doi.org/10.1108/17538331111176084 
",,,The authors are grateful to the Leeds City Centre management team for their support throughout the life of this research project.
doi:10.1108/14636681211210341,"Karuri‐Sebina, Geci & Rosenzweig, Lee",A case study on localising foresight in South Africa: using foresight in the context of local government participatory planning,Foresight,14,1,,26-40,2012," http://dx.doi.org/10.1108/14636681211210341 
",,,"Purpose – This paper aims to present the process and results of a local‐level South African action research project on introducing foresight methods into a local government planning process.Design/methodology/approach – The paper outlines the evolutionary process followed, and documents the practical insights gained and lessons learnt in relation to the concept of pro‐poor foresight.Findings – Positive outcomes in the King Sabata Dalindyebo (KSD) foresight process included a high level of stakeholder engagement and senior management buy‐in, supported by positive evaluations by diverse participants. The learning was subsequently incorporated into long‐term development plans and proposals such as the ten‐year development plan for the region. The experience yielded key lessons about the recruitment of participants, policy alignment, communication in diversity, active participation, facilitation as learning, the influence of technical inputs, and the importance of integration.Research limitations/implications – Further academic research could build upon this case study to investigate longer‐term impacts of the initiative in KSD, tracking replications and adaptations of the KSD experiment, comparative research between contexts where foresight is used and where it is not in development policy and planning processes, enquiry into how foresight might be formally incorporated in the routine development policy and planning processes of municipalities, and undertaking more theoretical enquiry on the “localising foresight” concept and experience, including the development of guiding criteria and indicators for procedural and outcome success.Practical implications – The case focuses on learning in a developing world context where foresight is less advanced than in other contexts. The results of the exercise in KSD suggest that it is possible to embed pro‐poor foresight in a large‐scale policy programme to enhance the resilience of communities, supported by appropriate plans and budgets.Social implications – The long‐term nature of foresight can create a “safe” platform for an otherwise difficult engagement, as is this case where three levels of government and various segments of civil society are to be beneficially engaged.Originality/value – This was a unique action research project in South Africa, where foresight has tended to be mainly at a top or central level – that being the level of corporate executives, national government, or national‐level stakeholders."
doi:10.1108/TG-09-2013-0030,"Khan, Zaheer; Ludlow, David; Loibl, Wolfgang & Soomro, Kamran",ICT enabled participatory urban planning and policy development: The UrbanAPI project,"Transforming Government: People, Process and Policy",8,2,,205-229,2014," http://dx.doi.org/10.1108/TG-09-2013-0030 
",,,"Purpose – The aim of this paper is to present the effectiveness of participatory information and communication technology (ICT) tools for urban planning, in particular, supporting bottom-up decision-making in urban management and governance. Design/methodology/approach – This work begins with a presentation on the state of the art literature on the existing participatory approaches and their contribution to urban planning and the policymaking process. Furthermore, a case study, namely, the UrbanAPI project, is selected to identify new visualisation and simulation tools applied at different urban scales. These tools are applied in four different European cities – Vienna, Bologna, Vitoria-Gasteiz and Ruse – with the objective to identify the data needs for application development, commonalities in requirements of such participatory tools and their expected impact in policy and decision-making processes. Findings – The case study presents three planning applications: three-dimensional Virtual Reality at neighbourhood scale, Public Motion Explorer at city-wide scale and Urban Growth Simulation at city-region scale. UrbanAPI applications indicate both active and passive participation secured by applying these tools at different urban scales and hence facilitate evidence-based urban planning decision-making. Structured engagement with the city administrations indicates commonalities in user needs and application requirements creating the potential for the development of generic features in these ICT tools which can be applied to many other cities throughout Europe. Originality/value – This paper presents new ICT-enabled participatory urban planning tools at different urban scales to support collaborative decision-making and urban policy development. Various technologies are used for the development of these IT tools and applied to the real environment of four European cities."
doi:10.1108/JCHMSD-10-2012-0050,"Kosmala, Katarzyna & Sebastyanski, Roman",The roles of artists’ collective in the Gdansk Shipyard's heritage protection,Journal of Cultural Heritage Management and Sustainable Development,3,2,,116-129,2013," http://dx.doi.org/10.1108/JCHMSD-10-2012-0050 
",,,"Purpose – The main objective of this paper is to analyse the roles of the artists’ collective in the creation of socially shared knowledge, concerning Gdansk Shipyard's heritage protection during the urban regeneration process over last ten years, since 2002. Design/methodology/approach – The empirical section of the paper is based on a single case study concerning the artists collective’ ability to build a complex network of social relations, to research cultural heritage of the Gdansk Shipyard, to translate this knowledge into symbolic languages through art-based work and to transmit knowledge to the wider public with an aim to engage in an open dialogic public communication. Findings – The case study draws on insights from participant observation carried out on the premises of the Gdansk Shipyard between years 2000 and 2008 and interviews with individual artists from the collective, conducted between years 2004 and 2006. Data was also drawn from archival research. The exposure in public media was also examined over last ten years, including Internet websites as well as newspapers and magazines’ content. Research limitations/implications – The case study research indicates that methods and techniques applied by the artists’ collective in researching the shipyard's historical heritage and communicating their findings to the wider public have been more effective than the official planning methods of expert-led post-industrial urban regeneration. Over the last ten years, the artists have succeeded to transform the negative perceptions about the values of the shipyard's cultural heritage and engaged local citizens in the preservation of the historical identities of the place. In 2012, the Mayor of Gdansk has invited representatives of the artists’ collective to the newly established Young City Stakeholders’ Board in order to utilize their knowledge of the shipyard's cultural heritage and their capacity to mediate between various groups involved in urban regeneration planning process as well as to communicate with the wider public. Practical implications – Despite persistent views in literature that equate public engagement in the planning process of urban regeneration with a kind of “modern utopia”, we argue that participatory process is not only possible in practice but also can be highly effective and democratically ethical."
doi:10.1108/00251741211194921,"Lee, Sang M.; Hwang, Taewon & Choi, Donghyun",Open innovation in the public sector of leading countries,Management Decision,50,1,,147-162,2012," http://dx.doi.org/10.1108/00251741211194921 
",,,"Purpose – The purpose of this study is to examine the current open innovation practices in the public sector of leading countries.Design/methodology/approach – Using a framework based on the role of the government in open innovation, this study analyses a profile of early open innovation adopters based on collected data from secondary sources.Findings – First, the USA, Australia and Singapore developed open innovation policies at the national level, facilitating a positive innovation climate. Many projects, especially those in online platforms, were established under these policies. Second, although outside‐in open innovation principles seem to be popular, there have been emerging attempts to exploit the value of government data through inside‐out approaches.Research limitations/implications – Most governments are in the early stages of adoption of open innovation and are in the process of understanding relevant issues. Future research should investigate how governments adopt open innovation, in particular inside‐out initiatives.Practical implications – Governments should develop an overarching strategic plan, which would help its employees to recognise that new change is consistent with the needs of their workplace practices. Some organizations and projects led by citizens help the government engage external ideas in solving issues that are beyond its control.Originality/value – This study is the first attempt to examine the current open innovation policies at the government level."
doi:10.1108/JCOM-07-2012-0059,"Lee, Seow Ting & Desai, Mallika Hemant",Dialogic communication and media relations in non-governmental organizations,Journal of Communication Management,18,1,,80-100,2014," http://dx.doi.org/10.1108/JCOM-07-2012-0059 
",,,"Purpose – The purpose of this paper is to seek to clarify the conceptual building blocks of relationship building between non-governmental groups (NGOs) and news media, which is essential for the development of civil society where dialogue is a product of ongoing communication and relationships. Design/methodology/approach – The paper is based on an online survey with a sample size of 296 NGOs from India. The data are analyzed with SPSS to test six hypotheses related to dialogic orientation, media relations, relationship quality and the NGOs’ structural characteristics. Findings – The study found that an organization's dialogic orientation has a positive impact on media relations knowledge and strategy but not on the action dimension that focusses on providing information subsidies to journalists. A stronger dialogic orientation is also associated with better organization-media relationships. A stronger engagement in media relations also has a more positive impact on the quality of organization-media relationship. Theoretical and practical implications are discussed. Research limitations/implications – The findings of this study are limited to a sample of NGOs from India. Future research should address more diverse samples to better understand the dynamics of media relations in NGOs, and how their patterns of media relations, use of information subsidies, culture and media choice shape news coverage and their impact in developing civil society. Originality/value – By approaching media relations from an organizational perspective to investigate media relations in the NGO sector to address an under-researched area, the study is able to draw out the significant relationships between and among three distinct and yet connected conceptual building blocks of public relations."
doi:10.1108/02632771211270586,"Leung, Mei‐Yung; Yu, Jingyu & Yu, Shiwang",Investigating key components of the facilities management of residential care and attention homes,Facilities,30,13/14,,611-629,2012," http://dx.doi.org/10.1108/02632771211270586 
",,,The work described in this paper was fully supported by a grant from CityU (Project No. 7008027).
doi:10.1108/07378831011096222,"Lin, Peyina",Information literacy barriers: language use and social structure,Library Hi Tech,28,4,,548-568,2010," http://dx.doi.org/10.1108/07378831011096222 
",,,The author gives thanks to Gifford Cheung and John Marino for their feedback; to Marisa Duarte for her discussions; to Dr Christine Bruce for clarifying her perspectives of educational approaches to information literacy; and to Michael Eisenberg for always supporting the author's works. The empirical data described in this paper are based on work supported by the National Science Foundation under Grant No. SES‐0927291.
doi:10.1108/20441241211280882,"Mahadkar, Sameedha; Mills, Grant & Price, Andrew D.F.",Stakeholder consultation practices within healthcare infrastructure planning: A conceptual approach to strategic asset management,Built Environment Project and Asset Management,2,2,,127-145,2012," http://dx.doi.org/10.1108/20441241211280882 
",,,The authors would like to thank the Engineering Physical Sciences Research Council (EPSRC) for funding this research through the Health and Care Infrastructre Research and Innovation Centre (HaCIRIC).
doi:10.1108/S1571-504320150000021006,"Marchiori, Elena & Cantoni, Lorenzo",Including Augmented Reality in Tourism Education Programs,,,,,115-134,,http://www.emeraldinsight.com/doi/abs/10.1108/S1571-504320150000021006,Tourism Education: Global Issues and Trends,11," Abstract This chapter outlines an augmented reality project developed as part of a master’s course on eTourism within a curriculum. It discusses opportunities to foster community engagement with local tourism actors and experiential learning for international students. It also contributes to the literature on experiential education in this field. Moreover, the chapter discusses cross-cultural learning implications as international students were asked to study a local destination. Results show how the introduction of a practical project into the tourism curriculum proved to provide better learning of the application of eTourism, and a powerful pedagogical approach to raise global citizenship awareness. "
doi:10.1108/JMLC-07-2013-0023,"Martin, Collins & Colin, King",The disruption of crime in Scotland through non-conviction based asset forfeiture,Journal of Money Laundering Control,16,4,,379-388,2013," http://dx.doi.org/10.1108/JMLC-07-2013-0023 
",,,"Purpose – Targeting criminal assets plays a key role in tackling crime, yet there is a notable absence of research on the operation and impact of this approach. This article calls for greater engagement between policymakers, practitioners and researchers to address this. Using experiences from Scotland, the article focuses on the use of civil recovery and identifies a number of areas that are in need of further research. This paper aims to discuss these issues. Design/methodology/approach – This article is a collaborative effort by a member of the Scottish Civil Recovery Unit and an academic researcher. The aim was to stimulate debate on the use of civil recovery, its impact, and future research directions. It draws upon two case studies from Scotland to illustrate how civil recovery has operated in practice. Findings – There are important distinctions between the civil recovery regime in Scotland and the regime that applies in other parts of the UK (e.g. the absence of “incentivisation”). There is a need to consider how the impact of civil recovery can be measured, and there is scope for future research in this area. Research limitations/implications – There is a notable absence of empirical research on civil recovery. The hope is that this article will lead to greater engagement between policymakers, practitioners and researchers. There is a need for empirical research on areas such as has civil recovery disrupted criminal activities, what intelligence gains does asset recovery bring, does asset recovery offer value for money, how is “impact” to be measured, etc. Practical implications – As civil recovery increases in popularity as a form of crime control, this article calls for greater empirical research on the operation and impact of the civil process to tackling criminal assets. This is especially important today as the European Union is investigating the possibility of a European model of non-conviction based asset recovery. Originality/value – Discussion of civil recovery under the Proceeds of Crime Act 2002 tends to focus on England and Wales. This article considers civil recovery from a Scottish perspective."
doi:10.1108/14720701011021076,"Martinelli, Alberto & Midttun, Atle",Globalization and governance for sustainability,Corporate Governance: The international journal of business in society,10,1,,6-17,2010," http://dx.doi.org/10.1108/14720701011021076 
",,,Received 1 June 2009Revised 15 October 2009Accepted 1 November 2009
